,Name,Height (inches)
0,Precious Achiuwa,80
1,Jaylen Adams,72
2,Steven Adams,83
3,Bam Adebayo,81
4,LaMarcus Aldridge,83
5,Ty-Shon Alexander,75
6,Nickeil Alexander-Walker,78
7,Grayson Allen,76
8,Jarrett Allen,83
9,Al-Farouq Aminu,80
10,Kyle Anderson,81
11,Giannis Antetokounmpo,83
12,Kostas Antetokounmpo,82
13,Thanasis Antetokounmpo,78
14,Carmelo Anthony,79
15,Cole Anthony,74
16,OG Anunoby,79
17,Ryan Arcidiacono,75
18,Trevor Ariza,80
19,D.J. Augustin,71
20,Deni Avdija,81
21,Deandre Ayton,83
22,Udoka Azubuike,82
23,Dwayne Bacon,78
24,Marvin Bagley III,83
25,LaMelo Ball,79
26,Lonzo Ball,78
27,Mo Bamba,84
28,Desmond Bane,77
29,Harrison Barnes,80
30,RJ Barrett,78
31,Will Barton,78
32,Keita Bates-Diop,80
33,Nicolas Batum,80
34,Aron Baynes,82
35,Kent Bazemore,76
36,Darius Bazley,80
37,Bradley Beal,76
38,Malik Beasley,76
39,Jordan Bell,80
40,DeAndre' Bembry,77
41,Dāvis Bertāns,82
42,Patrick Beverley,73
43,Saddiq Bey,79
44,Tyler Bey,79
45,Khem Birch,81
46,Goga Bitadze,83
47,Bismack Biyombo,80
48,Nemanja Bjelica,82
49,Eric Bledsoe,73
50,Keljin Blevins,76
51,Bogdan Bogdanović,78
52,Bojan Bogdanović,79
53,Bol Bol,86
54,Marques Bolden,82
55,Jordan Bone,74
56,Isaac Bonga,80
57,Devin Booker,77
58,Chris Boucher,81
59,Brian Bowen,78
60,Avery Bradley,75
61,Tony Bradley,82
62,Jarrell Brantley,77
63,Ignas Brazdeikis,78
64,Mikal Bridges,78
65,Miles Bridges,78
66,Amida Brimah,82
67,Oshae Brissett,79
68,Malcolm Brogdon,77
69,Armoni Brooks,75
70,Dillon Brooks,79
71,Bruce Brown,76
72,Charlie Brown Jr.,78
73,Jaylen Brown,78
74,Moses Brown,86
75,Sterling Brown,77
76,Troy Brown Jr.,78
77,Jalen Brunson,73
78,Elijah Bryant,77
79,Thomas Bryant,82
80,Reggie Bullock,78
81,Trey Burke,72
82,Alec Burks,78
83,Jimmy Butler,79
84,Bruno Caboclo,81
85,Devontae Cacok,79
86,Kentavious Caldwell-Pope,77
87,Facundo Campazzo,70
88,Vlatko Čančar,80
89,Devin Cannady,74
90,Clint Capela,82
91,Vernon Carey Jr.,81
92,Jevon Carter,73
93,Wendell Carter Jr.,82
94,Michael Carter-Williams,77
95,Alex Caruso,76
96,Willie Cauley-Stein,84
97,Chris Chiozza,71
98,Marquese Chriss,81
99,Gary Clark,78
100,Brandon Clarke,80
101,Jordan Clarkson,76
102,Nic Claxton,83
103,Amir Coffey,79
104,John Collins,81
105,Mike Conley,73
106,Pat Connaughton,77
107,Quinn Cook,73
108,Tyler Cook,80
109,DeMarcus Cousins,82
110,Robert Covington,79
111,Torrey Craig,79
112,Jae Crowder,78
113,Jarrett Culver,78
114,Seth Curry,74
115,Stephen Curry,74
116,Nate Darling,78
117,Anthony Davis,82
118,Ed Davis,81
119,Terence Davis,76
120,Gabriel Deck,80
121,Dewayne Dedmon,84
122,Matthew Dellavedova,75
123,DeMar DeRozan,78
124,Mamadi Diakite,81
125,Hamidou Diallo,77
126,Gorgui Dieng,82
127,Spencer Dinwiddie,77
128,Donte DiVincenzo,76
129,Luka Dončić,79
130,Luguentz Dort,75
131,Damyean Dotson,77
132,Devon Dotson,74
133,Sekou Doumbouya,80
134,PJ Dozier,78
135,Goran Dragić,75
136,Andre Drummond,82
137,Jared Dudley,78
138,Kris Dunn,75
139,Kevin Durant,82
140,Anthony Edwards,76
141,Carsen Edwards,71
142,CJ Elleby,78
143,Henry Ellenson,82
144,Wayne Ellington,76
145,Joel Embiid,84
146,James Ennis III,78
147,Drew Eubanks,81
148,Dante Exum,77
149,Tacko Fall,90
150,Derrick Favors,81
151,Cristiano Felício,83
152,Terrance Ferguson,78
153,Bruno Fernando,81
154,Yogi Ferrell,72
155,Dorian Finney-Smith,79
156,Malik Fitts,80
157,Malachi Flynn,73
158,Bryn Forbes,74
159,Trent Forrest,76
160,Evan Fournier,79
161,De'Aaron Fox,75
162,Robert Franks,79
163,Tim Frazier,72
164,Enes Freedom,82
165,Markelle Fultz,75
166,Wenyen Gabriel,81
167,Daniel Gafford,82
168,Danilo Gallinari,82
169,Langston Galloway,73
170,Darius Garland,73
171,Marc Gasol,83
172,Rudy Gay,80
173,Paul George,80
174,Taj Gibson,81
175,Harry Giles,83
176,Shai Gilgeous-Alexander,78
177,Anthony Gill,79
178,Freddie Gillespie,81
179,Rudy Gobert,85
180,Brandon Goodwin,72
181,Aaron Gordon,80
182,Eric Gordon,75
183,Devonte' Graham,73
184,Jerami Grant,80
185,Danny Green,78
186,Draymond Green,78
187,JaMychal Green,80
188,Javonte Green,76
189,Jeff Green,80
190,Josh Green,77
191,Blake Griffin,81
192,Kyle Guy,73
193,Rui Hachimura,80
194,Ashton Hagans,75
195,Tyrese Haliburton,77
196,Donta Hall,81
197,Josh Hall,81
198,R.J. Hampton,76
199,Tim Hardaway Jr.,77
200,James Harden,77
201,Maurice Harkless,79
202,Jared Harper,70
203,Montrezl Harrell,79
204,Gary Harris,76
205,Jalen Harris,77
206,Joe Harris,78
207,Tobias Harris,80
208,Shaquille Harrison,79
209,Josh Hart,77
210,Isaiah Hartenstein,84
211,Udonis Haslem,80
212,Jaxson Hayes,83
213,Killian Hayes,77
214,Gordon Hayward,79
215,Juancho Hernangómez,81
216,Willy Hernangómez,83
217,Tyler Herro,77
218,Buddy Hield,76
219,George Hill,76
220,Solomon Hill,78
221,Nate Hinton,77
222,Jaylen Hoard,80
223,Aaron Holiday,72
224,Jrue Holiday,75
225,Justin Holiday,78
226,Rondae Hollis-Jefferson,78
227,Richaun Holmes,82
228,Rodney Hood,80
229,Al Horford,81
230,Talen Horton-Tucker,76
231,Danuel House Jr.,78
232,Dwight Howard,82
233,Markus Howard,70
234,Kevin Huerter,79
235,Elijah Hughes,77
236,De'Andre Hunter,80
237,Chandler Hutchison,78
238,Serge Ibaka,82
239,Andre Iguodala,78
240,Ersan İlyasova,81
241,Joe Ingles,80
242,Brandon Ingram,80
243,Kyrie Irving,74
244,Wes Iwundu,78
245,Frank Jackson,75
246,Jaren Jackson Jr.,83
247,Josh Jackson,80
248,Justin Jackson,80
249,Reggie Jackson,74
250,Justin James,79
251,LeBron James,81
252,Mike James,73
253,DaQuan Jeffries,77
254,Ty Jerome,77
255,Isaiah Joe,76
256,Alize Johnson,79
257,Cameron Johnson,80
258,James Johnson,79
259,Keldon Johnson,77
260,Stanley Johnson,78
261,Tyler Johnson,75
262,Nikola Jokić,83
263,Damian Jones,83
264,Derrick Jones Jr.,77
265,Mason Jones,76
266,Tre Jones,73
267,Tyus Jones,72
268,DeAndre Jordan,83
269,Cory Joseph,75
270,Mfiondu Kabengele,81
271,Frank Kaminsky,84
272,Luke Kennard,77
273,Louis King,79
274,Maxi Kleber,82
275,Nathan Knight,82
276,Kevin Knox,79
277,John Konchar,77
278,Furkan Korkmaz,79
279,Luke Kornet,86
280,Rodions Kurucs,81
281,Kyle Kuzma,81
282,Anthony Lamb,78
283,Jeremy Lamb,77
284,Romeo Langford,76
285,Zach LaVine,77
286,Jake Layman,80
287,T.J. Leaf,82
288,Jalen Lecque,76
289,Damion Lee,77
290,Saben Lee,74
291,Alex Len,84
292,Kawhi Leonard,79
293,Meyers Leonard,84
294,Caris LeVert,78
295,Kira Lewis Jr.,73
296,Damian Lillard,74
297,Nassir Little,77
298,Kevon Looney,81
299,Brook Lopez,84
300,Robin Lopez,84
301,Didi Louzada,77
302,Kevin Love,80
303,Kyle Lowry,72
304,Timothé Luwawu-Cabarrot,79
305,Trey Lyles,81
306,Will Magnay,82
307,Thon Maker,84
308,Théo Maledon,76
309,Karim Mané,75
310,Terance Mann,77
311,Nico Mannion,74
312,Boban Marjanović,87
313,Lauri Markkanen,84
314,Naji Marshall,79
315,Caleb Martin,77
316,Cody Martin,77
317,Jeremiah Martin,75
318,Kelan Martin,77
319,Kenyon Martin Jr.,78
320,Frank Mason III,71
321,Garrison Mathews,77
322,Dakota Mathias,76
323,Wesley Matthews,76
324,Tyrese Maxey,74
325,Skylar Mays,76
326,Patrick McCaw,79
327,CJ McCollum,75
328,T.J. McConnell,73
329,Jaden McDaniels,81
330,Jalen McDaniels,81
331,Doug McDermott,79
332,Sean McDermott,78
333,JaVale McGee,84
334,Rodney McGruder,76
335,Alfonzo McKinnie,79
336,Jordan McLaughlin,71
337,Ben McLemore,75
338,Nicolò Melli,81
339,De'Anthony Melton,74
340,Sam Merrill,76
341,Chimezie Metu,81
342,Khris Middleton,79
343,Darius Miller,78
344,Patty Mills,73
345,Paul Millsap,79
346,Shake Milton,77
347,Donovan Mitchell,73
348,Adam Mokoka,76
349,Malik Monk,75
350,E'Twaun Moore,75
351,Ja Morant,75
352,Juwan Morgan,79
353,Marcus Morris,80
354,Markieff Morris,81
355,Monte Morris,74
356,Mychal Mulder,75
357,Dejounte Murray,76
358,Jamal Murray,75
359,Mike Muscala,82
360,Svi Mykhailiuk,79
361,Abdel Nader,77
362,Larry Nance Jr.,79
363,Aaron Nesmith,77
364,Raul Neto,73
365,Georges Niang,79
366,Zeke Nnaji,81
367,Nerlens Noel,83
368,Jaylen Nowell,76
369,Frank Ntilikina,76
370,Kendrick Nunn,74
371,James Nunnally,79
372,Jusuf Nurkić,83
373,David Nwaba,77
374,Jordan Nwora,80
375,Royce O'Neale,76
376,Semi Ojeleye,78
377,Jahlil Okafor,82
378,Chuma Okeke,78
379,Josh Okogie,76
380,Onyeka Okongwu,80
381,Isaac Okoro,77
382,KZ Okpala,80
383,Victor Oladipo,76
384,Cameron Oliver,80
385,Kelly Olynyk,83
386,Miye Oni,77
387,Cedi Osman,79
388,Daniel Oturu,80
389,Kelly Oubre Jr.,79
390,Jabari Parker,80
391,Eric Paschall,78
392,Anžejs Pasečņiks,85
393,Patrick Patterson,80
394,Justin Patton,83
395,Chris Paul,72
396,Cameron Payne,73
397,Elfrid Payton,75
398,Gary Payton II,75
399,Norvel Pelle,82
400,Reggie Perry,80
401,Theo Pinson,77
402,Mason Plumlee,83
403,Jakob Poeltl,85
404,Vincent Poirier,84
405,Aleksej Pokusevski,84
