#title = mean sea level anomaly global ocean (66S to 66N) (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.05 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-16.00000,,,
1992.9865,-17.70000,,,
1993.0123,-14.60000,,,
1993.0407,-19.60000,,,
1993.0660,-25.00000,,,
1993.0974,-29.10000,,,
1993.1206,-27.40000,,,
1993.1493,-21.60000,,,
1993.1765,-18.70000,,,
1993.2037,-19.20000,,,
1993.2307,-22.70000,,,
1993.2851,-26.00000,,,
1993.3123,-19.80000,,,
1993.3394,-19.60000,,,
1993.3665,-16.90000,,,
1993.3937,-21.80000,,,
1993.4208,-26.50000,,,
1993.4480,-23.50000,,,
1993.4751,-18.70000,,,
1993.5021,-15.40000,,,
1993.5294,-16.00000,,,
1993.5837,-22.80000,,,
1993.6117,-18.60000,,,
1993.6381,-13.20000,,,
1993.6652,-8.10000,,,
1993.6923,-8.80000,,,
1993.7189,-13.90000,,,
1993.7466,-13.30000,,,
1993.7738,-7.80000,,,
1993.8009,-8.10000,,,
1993.8553,-5.20000,,,
1993.8824,-11.80000,,,
1993.9098,-13.40000,,,
1993.9367,-12.20000,,,
1993.9639,-5.90000,,,
1993.9907,-5.30000,,,
1994.0181,-15.20000,,,
1994.0452,-16.20000,,,
1994.0723,-18.60000,,,
1994.0995,-20.90000,,,
1994.1267,-19.80000,,,
1994.1539,-13.80000,,,
1994.1809,-13.30000,,,
1994.2353,-18.40000,,,
1994.2624,-16.20000,,,
1994.2896,-14.10000,,,
1994.3168,-11.60000,,,
1994.3439,-15.40000,,,
1994.3710,-20.30000,,,
1994.3982,-23.40000,,,
1994.4253,-20.50000,,,
1994.4524,-14.10000,,,
1994.5067,-20.20000,,,
1994.5339,-18.50000,,,
1994.5610,-20.50000,,,
1994.5882,-15.60000,,,
1994.6154,-11.70000,,,
1994.6425,-7.30000,,,
1994.6697,-8.50000,,,
1994.6968,-9.50000,,,
1994.7239,-10.90000,,,
1994.7510,-8.70000,,,
1994.7782,-6.30000,,,
1994.8054,0.20000,,,
1994.8325,-1.50000,,,
1994.8868,-10.50000,,,
1994.9140,-11.80000,,,
1994.9412,-3.20000,,,
1994.9684,-3.60000,,,
1994.9955,-8.10000,,,
1995.0226,-12.20000,,,
1995.0497,-15.80000,,,
1995.0769,-8.40000,,,
1995.1040,-9.70000,,,
1995.1312,-11.50000,,,
1995.1583,-12.20000,,,
1995.2127,-11.20000,,,
1995.2398,-16.60000,,,
1995.2669,-11.10000,,,
1995.2941,-9.00000,,,
1995.3212,-13.00000,,,
1995.3755,-17.80000,,,
1995.4028,-14.70000,,,
1995.4298,-9.20000,,,
1995.4569,-12.30000,,,
1995.4841,-17.60000,,,
1995.5384,-20.50000,,,
1995.5655,-15.40000,,,
1995.5927,-11.50000,,,
1995.6199,-7.20000,,,
1995.6470,-10.80000,,,
1995.6740,-10.60000,,,
1995.7013,-6.30000,,,
1995.7285,2.10000,,,
1995.7556,0.10000,,,
1995.7827,-0.90000,,,
1995.8371,-5.20000,,,
1995.8643,-4.90000,,,
1995.8899,-1.50000,,,
1995.9456,-1.20000,,,
1995.9728,-3.20000,,,
1995.9998,-10.10000,,,
1996.0270,-13.10000,,,
1996.0533,-11.60000,,,
1996.0814,-7.30000,,,
1996.1084,-4.10000,,,
1996.1631,-11.20000,,,
1996.1899,-14.40000,,,
1996.2171,-11.10000,,,
1996.2442,-6.80000,,,
1996.2714,-10.00000,,,
1996.2985,-14.50000,,,
1996.3257,-14.80000,,,
1996.3529,-12.40000,,,
1996.3800,-9.80000,,,
1996.4071,-7.80000,,,
1996.4342,-10.60000,,,
1996.4886,-15.80000,,,
1996.5157,-13.10000,,,
1996.5429,-7.70000,,,
1996.5700,-2.60000,,,
1996.5972,-4.80000,,,
1996.6244,-9.80000,,,
1996.6515,-9.80000,,,
1996.6786,-10.00000,,,
1996.7053,-2.60000,,,
1996.7335,4.90000,,,
1996.7600,6.40000,,,
1996.8144,13.00000,,,
1996.8415,12.90000,,,
1996.8687,9.10000,,,
1996.8959,1.90000,,,
1996.9230,-1.70000,,,
1996.9501,-5.80000,,,
1996.9770,-13.10000,,,
1997.0044,-10.30000,,,
1997.0316,-5.40000,,,
1997.0587,-6.60000,,,
1997.0858,-7.90000,,,
1997.1402,-12.60000,,,
1997.1673,-10.60000,,,
1997.1944,-9.00000,,,
1997.2216,-6.90000,,,
1997.2487,-8.70000,,,
1997.2759,-12.80000,,,
1997.3030,-15.50000,,,
1997.3302,-11.50000,,,
1997.3573,-6.20000,,,
1997.3844,-8.60000,,,
1997.4116,-8.50000,,,
1997.4659,-15.20000,,,
1997.4928,-9.70000,,,
1997.5202,-6.10000,,,
1997.5474,0.20000,,,
1997.5745,-4.30000,,,
1997.6288,-4.50000,,,
1997.6560,-0.30000,,,
1997.6830,4.50000,,,
1997.7103,9.10000,,,
1997.7374,6.50000,,,
1997.7917,4.40000,,,
1997.8189,6.70000,,,
1997.8460,10.90000,,,
1997.8731,4.90000,,,
1997.9001,-0.60000,,,
1997.9274,-4.40000,,,
1997.9546,-7.90000,,,
1997.9817,-2.90000,,,
1998.0083,-1.60000,,,
1998.0360,-0.90000,,,
1998.0903,-8.20000,,,
1998.1174,-8.50000,,,
1998.1446,-6.10000,,,
1998.1717,-4.00000,,,
1998.1989,-3.70000,,,
1998.2261,-7.00000,,,
1998.2532,-10.90000,,,
1998.2792,-9.20000,,,
1998.3075,-4.60000,,,
1998.3347,-3.50000,,,
1998.3617,-7.00000,,,
1998.4158,-16.00000,,,
1998.4432,-13.80000,,,
1998.4704,-10.10000,,,
1998.4976,-3.40000,,,
1998.5247,-4.50000,,,
1998.5518,-9.30000,,,
1998.6062,-7.10000,,,
1998.6333,-4.30000,,,
1998.6604,0.10000,,,
1998.6876,0.60000,,,
1998.7147,-4.90000,,,
1998.7419,-4.40000,,,
1998.7689,-2.30000,,,
1998.8234,6.80000,,,
1998.8505,2.80000,,,
1998.8775,-3.80000,,,
1998.9046,-9.90000,,,
1998.9319,-3.70000,,,
1998.9591,-3.00000,,,
1998.9862,0.40000,,,
1999.0133,-3.90000,,,
1999.0405,-6.60000,,,
1999.0948,-10.90000,,,
1999.1256,4.00000,,,
1999.1491,-1.00000,,,
1999.1763,-6.10000,,,
1999.2034,-11.50000,,,
1999.2306,-10.10000,,,
1999.2577,-7.60000,,,
1999.2848,-5.10000,,,
1999.3392,-8.00000,,,
1999.3663,-13.50000,,,
1999.3933,-16.00000,,,
1999.4206,-10.20000,,,
1999.4478,-11.30000,,,
1999.4749,-7.00000,,,
1999.5020,-4.30000,,,
1999.5292,-9.00000,,,
1999.5566,-10.30000,,,
1999.5834,-4.10000,,,
1999.6106,-3.00000,,,
1999.6377,2.10000,,,
1999.6920,-2.70000,,,
1999.7192,1.60000,,,
1999.7462,3.10000,,,
1999.7735,11.60000,,,
1999.8008,11.00000,,,
1999.8278,5.70000,,,
1999.8550,-0.90000,,,
1999.8822,-1.30000,,,
1999.9092,1.70000,,,
1999.9636,7.90000,,,
1999.9907,6.00000,,,
2000.0178,-2.80000,,,
2000.0450,-2.90000,,,
2000.0721,3.70000,,,
2000.0993,1.00000,,,
