Abbreviated,Location,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Type,Years
CAN,Canada,503.79,32.33,26.88,29.52,27.73,36.94,54.34,62.54,59.18,52.66,45.7,40.76,35.2,precipitation,1901-1930
NT,Northwest Territories / Territoires du Nord-Ouest,246.84,11.25,11.04,10.5,11.73,16.72,30.88,39.77,39.8,25.89,20.88,16.18,12.19,precipitation,1901-1930
NS,Nova Scotia / Nouvelle-Écosse,1186.85,115.8,91.26,103.36,92.09,77.82,81.29,84.68,96.04,89.41,118.41,111.13,125.55,precipitation,1901-1930
NU,Nunavut,222.87,8.05,7.26,8.62,11.45,13.98,19.45,33.81,38.0,30.36,25.17,16.42,10.31,precipitation,1901-1930
ON,Ontario,681.84,40.74,33.69,38.84,41.06,54.83,75.88,85.1,76.22,79.0,62.96,50.44,43.09,precipitation,1901-1930
PE,Prince Edward Island / Île-du-Prince-Édouard,961.22,80.65,68.3,75.49,70.74,67.12,70.92,72.5,85.37,81.97,100.77,91.77,95.61,precipitation,1901-1930
QC,Quebec / Québec,772.8,48.72,38.82,45.77,44.15,56.47,76.74,91.47,90.13,87.98,75.38,64.62,52.55,precipitation,1901-1930
AB,Alberta,433.66,24.62,19.31,22.74,22.03,41.97,71.44,65.9,56.34,40.91,21.74,23.96,22.7,precipitation,1901-1930
SK,Saskatchewan,411.41,18.4,15.14,19.67,21.13,39.74,68.12,66.62,53.59,43.12,25.43,21.82,18.62,precipitation,1901-1930
BC,British Columbia / Colombie-Britannique,858.13,86.35,71.47,64.92,44.59,52.46,66.33,62.55,58.08,65.04,88.7,99.92,97.71,precipitation,1901-1930
YK,Yukon,264.66,11.94,13.57,12.14,8.57,17.43,40.42,53.58,41.38,22.5,14.57,15.68,12.87,precipitation,1901-1930
MB,Manitoba,468.61,19.59,15.67,20.92,23.15,40.28,65.36,70.22,65.13,56.05,38.5,30.82,22.92,precipitation,1901-1930
NB,New Brunswick / Nouveau-Brunswick,1031.86,91.95,71.81,90.1,76.44,74.31,84.86,93.37,93.64,86.3,96.67,79.49,92.91,precipitation,1901-1930
NL,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1008.22,83.24,68.99,79.66,67.88,64.98,88.6,101.62,93.84,88.91,89.28,92.64,88.6,precipitation,1901-1930
CAN,Canada,511.37,33.69,28.59,30.0,28.24,35.97,54.63,62.65,59.35,52.6,45.23,43.32,37.09,precipitation,1931-1960
NT,Northwest Territories / Territoires du Nord-Ouest,253.3,11.96,10.91,11.61,11.57,16.57,28.62,41.08,40.17,26.28,21.33,18.51,14.7,precipitation,1931-1960
NS,Nova Scotia / Nouvelle-Écosse,1283.8,133.46,108.9,103.03,95.12,93.0,86.11,80.44,97.66,104.35,113.36,141.74,126.61,precipitation,1931-1960
NU,Nunavut,217.15,7.93,7.61,8.56,10.68,12.92,19.07,33.35,37.13,28.89,24.33,16.51,10.17,precipitation,1931-1960
ON,Ontario,704.36,44.98,37.27,39.76,42.85,55.98,78.47,83.08,75.38,79.49,61.41,58.38,47.31,precipitation,1931-1960
PE,Prince Edward Island / Île-du-Prince-Édouard,1035.49,95.38,83.01,73.77,73.11,78.88,74.65,68.91,83.73,93.34,95.68,117.49,97.53,precipitation,1931-1960
QC,Quebec / Québec,784.44,49.12,40.57,44.44,45.06,55.04,80.18,94.42,89.9,92.6,72.77,66.71,53.64,precipitation,1931-1960
AB,Alberta,454.09,26.22,23.4,25.57,23.95,42.25,68.85,68.29,56.11,38.93,25.46,28.55,26.51,precipitation,1931-1960
SK,Saskatchewan,410.21,19.74,16.19,21.1,22.28,34.18,65.4,63.11,54.5,40.39,25.53,25.98,21.79,precipitation,1931-1960
BC,British Columbia / Colombie-Britannique,897.45,91.76,77.68,70.28,47.0,50.6,69.94,65.78,60.1,62.05,94.2,102.11,105.96,precipitation,1931-1960
YK,Yukon,264.69,12.91,12.81,12.87,7.99,17.42,38.49,51.75,43.41,21.22,14.52,17.83,13.47,precipitation,1931-1960
MB,Manitoba,469.32,20.61,16.07,21.44,23.92,38.07,66.51,68.76,68.41,53.68,35.99,32.52,23.34,precipitation,1931-1960
NB,New Brunswick / Nouveau-Brunswick,1084.38,100.58,84.57,84.97,80.39,79.45,95.84,91.9,85.82,91.79,92.27,101.69,95.11,precipitation,1931-1960
NL,Newfoundland and Labrador / Terre-Neuve-et-Labrador,953.94,78.42,65.71,70.5,64.87,62.64,84.12,96.14,92.16,92.26,81.29,85.96,79.84,precipitation,1931-1960
CAN,Canada,530.4,34.67,27.67,30.17,29.51,38.85,56.12,66.08,62.73,55.32,47.67,43.29,38.33,precipitation,1961-1990
NT,Northwest Territories / Territoires du Nord-Ouest,261.13,12.58,11.04,11.33,11.98,16.92,32.66,42.52,41.76,26.54,23.1,17.47,13.23,precipitation,1961-1990
NS,Nova Scotia / Nouvelle-Écosse,1393.52,135.49,106.61,111.78,108.76,103.28,98.02,94.11,103.61,99.8,127.27,148.56,156.24,precipitation,1961-1990
NU,Nunavut,223.82,8.11,7.16,8.76,11.58,14.02,19.41,33.93,38.15,30.51,25.26,16.52,10.4,precipitation,1961-1990
ON,Ontario,730.24,43.2,34.1,40.36,43.7,57.62,82.09,88.39,84.5,84.12,66.21,57.28,48.67,precipitation,1961-1990
PE,Prince Edward Island / Île-du-Prince-Édouard,1151.1,99.39,82.24,84.83,87.51,92.0,86.25,82.6,90.33,90.0,111.24,121.64,123.06,precipitation,1961-1990
QC,Quebec / Québec,809.64,48.73,38.34,45.57,46.35,59.18,79.51,96.03,96.15,94.01,77.36,70.09,58.33,precipitation,1961-1990
AB,Alberta,467.17,27.25,20.71,23.37,24.02,44.18,71.7,75.83,60.37,43.84,23.74,25.96,26.21,precipitation,1961-1990
SK,Saskatchewan,423.06,19.8,15.44,20.14,23.24,39.34,64.05,70.15,55.21,44.7,26.79,22.19,22.0,precipitation,1961-1990
BC,British Columbia / Colombie-Britannique,925.17,99.78,77.69,66.92,50.0,57.73,70.4,70.72,63.6,68.81,94.52,101.84,103.14,precipitation,1961-1990
YK,Yukon,275.9,13.46,13.45,12.42,8.54,19.19,42.93,56.13,42.51,23.38,15.44,15.45,13.0,precipitation,1961-1990
MB,Manitoba,484.14,20.35,15.58,21.3,25.45,41.5,65.86,72.88,69.4,57.83,39.66,30.72,23.61,precipitation,1961-1990
NB,New Brunswick / Nouveau-Brunswick,1153.78,97.71,76.15,88.24,84.19,95.79,92.18,103.11,98.35,94.68,99.56,107.2,116.61,precipitation,1961-1990
NL,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1028.5,85.33,69.5,80.33,68.48,66.45,89.84,101.33,98.28,93.21,91.34,93.42,90.97,precipitation,1961-1990
CAN,Canada,532.87,33.83,26.33,30.47,29.96,39.23,58.25,67.2,62.37,55.91,49.96,42.68,36.68,precipitation,1991-2020
NT,Northwest Territories / Territoires du Nord-Ouest,259.76,11.59,11.06,11.42,11.42,16.43,32.72,42.71,43.32,27.32,21.95,16.95,12.87,precipitation,1991-2020
NS,Nova Scotia / Nouvelle-Écosse,1380.71,126.98,106.46,117.09,103.0,96.39,104.87,87.09,100.33,102.96,136.47,147.58,151.49,precipitation,1991-2020
NU,Nunavut,218.46,7.59,6.88,8.67,10.81,13.36,19.76,33.13,37.68,29.86,23.87,16.08,10.77,precipitation,1991-2020
ON,Ontario,749.6,44.47,34.84,39.11,46.42,62.27,82.48,92.89,81.13,85.82,74.22,56.91,49.03,precipitation,1991-2020
PE,Prince Edward Island / Île-du-Prince-Édouard,1150.42,94.08,84.02,87.15,83.22,87.42,97.12,75.45,89.27,91.22,120.47,121.31,119.7,precipitation,1991-2020
QC,Quebec / Québec,820.39,48.46,37.7,46.69,47.56,60.5,79.71,99.1,94.67,98.74,83.56,67.02,56.68,precipitation,1991-2020
AB,Alberta,461.58,23.85,18.88,24.06,26.33,43.25,79.3,73.1,58.11,42.29,25.36,25.31,21.73,precipitation,1991-2020
SK,Saskatchewan,431.34,19.69,14.29,19.35,24.81,38.8,74.23,73.68,53.8,41.38,30.65,21.79,18.88,precipitation,1991-2020
BC,British Columbia / Colombie-Britannique,905.41,95.71,66.81,71.5,50.27,55.83,75.03,69.28,62.73,66.85,92.43,103.58,95.4,precipitation,1991-2020
YK,Yukon,274.71,13.9,12.93,12.66,8.15,18.08,43.0,54.87,44.97,22.91,14.28,16.49,12.48,precipitation,1991-2020
MB,Manitoba,503.87,20.08,15.54,20.16,24.17,43.83,71.37,78.66,72.6,59.44,44.02,30.61,23.4,precipitation,1991-2020
NB,New Brunswick / Nouveau-Brunswick,1212.78,103.36,83.12,99.3,90.04,95.21,108.93,99.34,91.3,97.2,118.6,105.77,120.61,precipitation,1991-2020
NL,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1032.55,83.73,67.48,75.07,69.12,69.8,85.1,105.6,102.03,96.36,99.74,92.04,86.5,precipitation,1991-2020
CAN,Canada,-5.58,-23.59,-22.22,-16.81,-7.59,1.26,8.13,12.06,10.44,4.97,-2.25,-11.84,-19.52,temperature,1901-1930
NT,Northwest Territories / Territoires du Nord-Ouest,-9.63,-29.7,-28.2,-23.96,-12.83,-1.38,7.21,11.32,9.13,2.79,-6.04,-18.38,-25.53,temperature,1901-1930
NS,Nova Scotia / Nouvelle-Écosse,5.33,-6.48,-7.13,-2.16,3.07,8.46,13.38,17.39,16.84,13.24,8.24,2.56,-3.39,temperature,1901-1930
