Time,Antarctic Mass,Antartic mass 1-sigma uncertainty
2002.29,0.0,178.9
2002.35,17.63,102.47
2002.62,-62.83,83.09
2002.71,43.3,97.19
2002.79,59.9,61.82
2002.87,-71.58,58.68
2002.96,-48.89,59.19
2003.04,-48.71,64.73
2003.12,-200.79,48.1
2003.2,-171.01,42.95
2003.29,-44.0,43.58
2003.36,1.53,48.24
2003.54,-130.07,37.86
2003.62,-123.81,39.87
2003.71,-133.11,39.61
2003.79,-50.21,40.19
2003.87,-110.16,40.89
2003.96,-275.3,39.82
2004.02,-331.67,43.72
2004.13,-490.94,40.46
2004.21,-338.94,37.97
2004.29,-386.59,37.56
2004.37,-155.72,38.36
2004.46,-188.84,37.47
2004.54,-313.91,34.08
2004.62,-168.33,35.44
2004.71,-162.86,36.2
2004.79,-88.73,33.33
2004.87,-228.91,36.02
2004.96,-307.51,35.33
2005.04,-393.54,33.76
2005.12,-456.47,35.22
2005.2,-406.71,34.97
2005.29,-252.41,34.3
2005.37,-229.92,35.04
2005.46,-205.36,35.16
2005.54,-160.65,33.88
2005.62,-211.25,34.19
2005.71,-114.94,33.91
2005.79,-108.78,33.17
2005.87,-63.22,33.08
2005.96,-160.96,38.45
2006.04,-225.78,34.46
2006.12,-319.08,35.03
2006.2,-184.56,35.19
2006.29,-160.6,35.23
2006.37,-80.17,35.51
2006.45,-51.7,37.9
2006.54,-101.44,37.37
2006.62,-14.97,36.14
2006.71,-24.58,37.96
2006.79,-98.54,37.0
2006.87,-90.76,36.85
2006.96,-235.65,37.92
2007.04,-438.81,38.38
2007.12,-429.73,37.94
2007.2,-361.7,37.66
2007.29,-338.02,37.77
2007.37,-182.19,37.57
2007.45,-192.97,38.38
2007.54,-271.43,37.52
2007.62,-234.8,39.45
2007.71,-162.19,39.17
2007.79,-249.88,39.51
2007.87,-440.69,40.82
2007.96,-522.81,39.77
2008.04,-730.01,39.43
2008.12,-608.04,41.45
2008.21,-740.73,40.25
2008.29,-565.26,42.17
2008.37,-474.14,40.75
2008.46,-558.42,40.38
2008.54,-653.06,40.84
2008.62,-605.65,40.15
2008.71,-447.64,40.44
2008.79,-536.02,39.48
2008.87,-522.71,40.89
2008.96,-626.98,40.43
2009.04,-707.5,39.6
2009.12,-681.43,39.72
2009.2,-618.18,39.33
2009.29,-582.4,36.58
2009.37,-555.72,35.97
2009.46,-542.25,35.73
2009.54,-440.36,36.75
2009.62,-472.49,34.71
2009.71,-485.2,33.67
2009.79,-540.91,33.92
2009.87,-526.04,33.46
2009.96,-634.1,33.43
2010.04,-803.22,33.03
2010.12,-809.92,32.76
2010.2,-691.94,34.51
2010.29,-762.56,32.2
2010.37,-784.01,32.63
2010.45,-795.89,38.44
2010.54,-999.46,35.63
2010.62,-930.01,34.62
2010.71,-850.4,36.4
2010.79,-883.03,38.44
2010.87,-903.89,39.59
2010.95,-916.62,40.67
2011.13,1004.65,43.16
2011.2,1021.39,41.62
2011.29,1034.75,41.22
2011.37,-967.44,40.16
2011.54,-916.74,42.75
2011.62,-932.65,40.5
2011.71,-843.62,39.71
2011.79,-890.1,38.98
2011.83,-884.46,39.28
2012.0,1151.81,39.05
2012.04,1080.86,37.63
2012.12,1144.18,38.79
2012.21,1122.48,37.12
2012.26,1062.48,43.32
2012.46,1098.15,39.99
2012.54,1066.04,38.8
2012.62,-987.21,37.7
2012.7,-954.97,41.16
2012.88,1076.65,41.62
2012.96,1122.36,39.53
2013.04,1291.93,38.98
2013.12,1398.62,40.16
2013.3,1142.5,41.36
