_id,company/_id,company/about,company/backgroundImage,company/companyLocation,company/companyName,company/createdAt,company/culture,company/email,company/galleryImages/0,company/galleryImages/1,company/galleryImages/2,company/isPublished,company/kindOfEmployeeLookFor,company/logoURL,company/mission,company/paymentType,company/phone,company/sizeCompany,company/specialities,company/testimonials/0/content,company/testimonials/0/person,company/testimonials/0/position,company/testimonials/1/content,company/testimonials/1/person,company/testimonials/1/position,company/updatedAt,company/weOfferChallenges,company/weOfferKindOfChallenges,company/weOfferKindOfTrainings,company/weOfferTrainings,company/webSite,createdAt,email,jobs,numberOfJobs,updatedAt,company/testimonials/0,company/galleryImages/3,company/galleryImages/4,company/galleryImages/5,company/testimonials/2/content,company/testimonials/2/person,company/testimonials/2/position,company/youTubeLink,company/galleryImages/6,company/galleryImages/7,company/jobDisclaimer,company/paymentTypeOrdered,company/testimonials/1,company/testimonials/3/content,company/testimonials/4,company/galleryImages/8,company/galleryImages/9,company/galleryImages/10,company/galleryImages/11,company/testimonials/2,company/testimonials/3
58caff366ed7bb3c6ee62d16,58caff7d6ed7bb3c6ee62d17,"ATG Europe prides itself in employing Europe’s brightest minds, and for the last 40 years we have been a key player in delivering engineering services to the European space sector.
",https://spaceindividuals.com/var/www/images/b67db562a78f7564a89b23e576a5cb06.jpg,"Noordwijk, Netherlands",ATG Europe,2017-08-15T14:06:08.000Z,Working in Europe’s cutting edge industries is just one of the many perks of joining The Brightest Minds. Through our experience we can offer you the opportunity to work for different clients in the Aerospace and High-tech industries and provide you with all the other necessary means to further your career.,contactus@atg-europe.com,https://spaceindividuals.com/var/www/images/677f56b142dc45b92401e3dca2b995f3.jpg,https://spaceindividuals.com/var/www/images/4d003d4904d9679559c98f4065d58c4d.jpg,https://spaceindividuals.com/var/www/images/fe01ef2783a8832ee91c18cddf2e3cf7.jpg,true,,https://spaceindividuals.com/var/www/images/9b68878c8fb05b9fbd3fac13233f0ac7.png,,free,+31 (0) 71 5795 500,100-250 employees,"Our headquarters is located in the heart of the European space industry on the Noordwijk Space Business Park, in close proximity of ESA/ESTEC.

ATG Europe has three main core competencies:

ATG Brightest Minds: Dedicated recruitment department delivering highly skilled personnel to the European space sector. We are a proven and reliable resourcing partner with a unique network of technical specialists and talent pools. Our service portfolio includes flexible solutions as contract staffing and contract-to-hire.

ATG Spacelabs: Supported by the knowledge of over a 100 engineers and using the highest quality standards, we take on the responsibility of designing whole satellite mechanical and thermal subsystems, from the early stages of system level conceptual design, up to and including full qualification and certification of the product.

ATG Medialab: Visualization studio specialized in providing high-end 3D computer graphics visualizations and illustrations. With over 15 years of experience in the field of scientific and technological visualization, ATG Medialab has gained a high reputation in the computer graphic industry.","The support I was given, in both my personal and professional life, went far beyond my expectations.",Joaquín Jiménez,EEE Components Engineer,"I’m happy to dedicate some time to my role as Team Responsible for fellow engineers; whenever a colleague faces a problem, I am there to help.",Claudia Allegranza,Mechanisms Engineer at ESTEC,2017-08-15T14:06:08.000Z,,"ATG Europe offers excellent working conditions and provides you with all the necessary means to further your career. We believe that training and education, combined with regular assessments and a personal development plan, will create the best environment for growth. If needed we also assist you with settling in your new home or finding the right school for your children. ATG will help in any way it can, including a relocation budget that is applicable for ATG staff as well as consultants working at one of our client's locations.

We’re all Brightest Minds and we’re all working together. That’s how we feel. And that’s why ATG organizes social events throughout the year where you can bring your family, meet colleagues working at other clients and share your experiences. Because we’d like you to feel at home and make the most of everything we have to offer. Think of Christmas and Easter lunches for all ATG employees, events for the entire family, a New Years Party, a Beach Party – bring the kids! – and many more informal get-togethers. Places to catch up on colleagues and friends that can inspire you to take the next step in your career.","Why? Because we believe that training and education, combined with regular assessments and a personal development plan will create the best environment for growth. And if you grow, we all grow.

Whether it’s facilitating technical, soft skill expert courses, language courses – Dutch, English, French – and providing career advice or assisting with settling in your new home or finding the right school for your children, we’ll help in any way we can, including a relocation budget. That is applicable for ATG staff as well as employees working at one of our clients.",,http://www.atg-europe.com/,2017-08-15T14:06:08.000Z,harald.vanklaveren@atg-europe.com,,0,2019-08-02T13:35:59.804Z,,,,,,,,,,,,,,,,,,,,,
58d163cd6ed7bb3c6ee62e63,58d164516ed7bb3c6ee62e64,"Telespazio VEGA UK is a dynamic and experienced consulting, technology and engineering services business based in Luton, UK. Following our merger into the Telespazio Group in 2011 we now have access to a vast array of world leading facilities and services, which we provide both within the UK and to our export markets. With a strong history in the European space arena starting in 1978, we have rich relationships across the space industry, with staff working closely with the European Space Agency (ESA) on programs and projects for over 35 years. ",https://www.spaceindividuals.com/var/www/images/8907e7e06a094fe31098d167567fa1dc.jpg,"Capability Green, Luton LU1 3LU, UK",Telespazio VEGA UK,2017-06-05T00:00:00.000Z,"As an organisation that aspires to excellence, Telespazio VEGA recognises the need to appreciate our people for their achievements. Without the skills, dedication and enthusiasm of our people, we would not be where we are today. Telespazio VEGA continually strives to create a rewarding environment, offer ample opportunity for personal and professional development and support our people in balancing work and life.
To ensure that we remain relevant and of value to our clients, Telespazio VEGA has created an environment that encourages and rewards innovation and entrepreneurial spirit. This, offered with the financial stability afforded us as part of the Finmeccanica group of companies, means that valid business ideas are given the appropriate backing and support to enable them to succeed.
We also recognise that each individual has their own aspirations for personal development. Therefore, we offer a range of career options that enable consultants to enhance individual niche capabilities, embrace the challenge of business development, and take on the responsibility of a management role. These opportunities are made available through a structured career development programme which enables our people to look closely at themselves, where they are today, and where they see themselves in the future. We recognise and support all these ambitions and look to retain a rich mix of skills and capabilities that will continue to support our clients’ evolving business requirements.

Continuous Learning
As a business, Telespazio VEGA places great emphasis on allowing our people to learn and develop, both personally and professionally. We share ideas with colleagues and clients, challenge each other and learn through our involvement with a variety of projects.
Telespazio VEGA provides ample opportunity for more formal training. We encourage our people to undertake professional qualifications, and support those who undertake study which relates to their work
",careers@telespazio.com,https://spaceindividuals.com/var/www/images/4feb7c40b8b3d5a3ea83b600d6731b94.jpg,https://spaceindividuals.com/var/www/images/ab664d6614614b4b771c3fe99e55383b.jpg,https://spaceindividuals.com/var/www/images/d3ab90c334abfe301c93b14b1ff0f2d4.jpg,true,,https://spaceindividuals.com/var/www/images/ca6d9b5d356a2186fb9144b6bb34ab03.png,,enterprise,+44 (0)1582 399000,100-250 employees,"We now serve a wide range of public and private commercial markets globally by providing efficient, skilled support, the most up to date space data and services, and fundamentally, understanding and integrating the needs of our customers.

We have developed and harnessed our knowledge and expertise to deliver unique complex solutions for:
GEO Information, Satellite Systems and Applications &amp; Satellite Communications.
We offer robust and reliable ground segment systems for satellite missions and utilise space assets to develop downstream applications across a wide variety of sectors. 
We provide world leading scientific services on earth observation and space science missions.
Our valued and experienced knowledgeable experts deliver consulting and engineering support to space missions worldwide.",,,,,,,2021-01-20T09:45:41.731Z,,"Telespazio VEGA’s culture is defined by our people, and drives the value we deliver through the relationships we have with our stakeholders.

Our culture is distinct and discernible, mirroring the multi-national, multi-disciplinary environment in which we work. It is based on a practical engineering ethos that thrives on challenge, and engenders a rigorous, analytical, results-oriented approach to problem solving. We are open and honest, say what we believe, and challenge that which we do not.

At Telespazio VEGA, our culture is also based on a pursuit of excellence and thought leadership – not only in our understanding of the technologies with which we work and the market domains in which they are applied, but also in the quality of the ideas, methodologies, services and solutions we deliver.

We share with our clients an unparalleled enthusiasm for Space and its application in society. Therefore, we are able to empathise strongly, and invest this understanding and commitment into long-term relationships with our clients and stakeholders.
",,,http://telespazio-vega.com,2017-06-05T00:00:00.000Z,careers@telespazio.com,,0,2021-01-20T09:47:36.694Z,,,,,,,,,,,,,,,,,,,,,
58d2bcc36ed7bb3c6ee62ebc,58d2bd156ed7bb3c6ee62ebd,Tailored services for microsatellites.  Leaf space was born in 2014 from a group of young engineers.,https://spaceindividuals.com/var/www/images/62d5f23251723f2a5bccc9909c52895a.jpg,"Lomazzo CO, Italy",Leafspace,2017-08-10T14:06:08.000Z,"We love engineering, all around.
We are prone to learn (a lot of) new stuff.
We want to get deep inside problems, to reach the best.
We love what we do.",info@leaf.space,https://spaceindividuals.com/var/www/images/cb9d9a5f9dbf8faca067eef34744220a.jpg,https://spaceindividuals.com/var/www/images/06d4155f943e8308d175bdf78e1b3991.jpg,https://spaceindividuals.com/var/www/images/b917a6f62006e6127495802a348c0d63.jpg,true,,https://spaceindividuals.com/var/www/images/9ae2151064efe1d2e2e2fd7358128fa2.png,We simplify access to space.,free,+39 02 36714624,1-25 employees,"Leaf Line is a ground segment service for satellite communication. Using Leaf Line means employing several ground stations in the world, consequently resulting in high visibility for satellites in different orbits.

DEDICATED
Leaf Line network is tailored for nano, micro and small satellites with advantages in terms of performance and price.

HIGH VISIBILITY
Leaf Line network provides a substantially higher number of passages per day than a single ground station.

BUSINESS READY
The world of small satellites data is getting serious and we have all the means to support commercial operations.

Our system is capable of satisfying really different needs in the micro satellite world.  We have been working hard to offer you flexibility and good performance to make your business true!",,,,,,,,,"Our team is growing up! If you like the idea of working on challenging projects,
Leaf Space is the right place for you! ",,,http://www.leaf.space,2017-08-10T14:06:08.000Z,temp@leafspace.eu,,0,2018-06-12T08:36:03.052Z,,,,,,,,,,,,,,,,,,,,,
58d2e0a56ed7bb3c6ee62f04,58d2e3446ed7bb3c6ee62f05,"Oxford Space Systems is an award-winning space technology business that's pioneering the development of a new generation of deployable structures that are lighter, less complex and lower cost than those in current commercial demand.",https://spaceindividuals.com/var/www/images/7eacb568e850b0f366e9b318e42a1299.jpg,"Didcot OX11 0QR, UK",Oxford Space Systems,2018-03-07T14:00:08.000Z,,explore@oxfordspacesystems.com,https://spaceindividuals.com/var/www/images/56d2bf387eabcb1c4f96bda7e5ad1334.jpg,https://spaceindividuals.com/var/www/images/b4a912dd5168fcc8b24944f0baada765.jpg,,true,,https://spaceindividuals.com/var/www/images/7325c20b389bf2cbda8fb2193529a879.png,,free,+44 (0)1235 567 999,25-50 employees,"Oxford Space Systems currently works in three principle areas of development: deployable panels, flexible composite boom systems and large deployable antennas. Combining new and traditional materials with an agile approach, means OSS is designing and delivering innovative, scalable structures that save significantly in both build & launch costs.

Based at the heart of the United Kingdom’s space activity – the Harwell Space Cluster – OSS has excellent access to the expertise & facilities of RAL Space, the European Space Agency, the Science and Technology Facilities Council and the Satellite Applications Catapult. OSS is backed by significant private equity and enjoys the support of Innovate UK, the European Space Agency and the UK Space Agency.

Oxford Space Systems is developing innovative deployable hardware solutions which meet the challenges of the new space age. Our approach is one of agile technology development & validation where success is measured in proven hardware – not the number of documents produced. Our strategy of ‘fast & lean’, combined with unique proprietary materials, permits us to mature solutions at lower cost and faster pace than many of our customers can achieve internally.

Our portfolio of ITAR-free technologies currently spans three principal areas: AstroHinge™ Scalable Panel Array, Unfurlable Antennas and our AstroTube™ range of linear boom systems. Beyond technical excellence, we’re differentiated by our core design philosophy: lower costs by reducing complexity, mass and lead times. We’re proud of our rapidly growing reputation of being the UK’s ‘go to’ company for innovative deployable technology.

Our technology and products are co-developed with leading experts from academia and industry and in most cases supported and overseen by Innovate UK, the European Space Agency and the UK Space Agency.",,,,,,,,,,,,https://www.oxfordspacesystems.com,2018-03-07T14:00:08.000Z,temp@oxfordspacesystems.com,,0,2018-06-12T08:34:26.969Z,,,,,,,,,,,,,,,,,,,,,
58d37e276ed7bb3c6ee62fa7,58d37ead6ed7bb3c6ee62faa,"We are building a brighter future in which access to Space is frequent, affordable, secure and reliable for everyone. Our mission: enable people with a project and a passion to place themselves above the Earth in order to collect rich data, take high definition images, manage communications and more, much more.",https://spaceindividuals.com/var/www/images/db0c6c11e2bc6a37bf0422cc417919d0.jpg,"Marie Curie, 2, Nave 14, 08210, Barberà del Vallès, Barcelona, Spain",Zero 2 Infinity,2017-08-12T14:06:08.000Z,"Zero 2 Infinity is changing the face of Space logistics. Our mission is to simplify access to Near Space and orbit. We are driven by a desire to help people realize their projects in Space. Our work involves creating cutting edge hardware and electronics, as well as working with businesses and governments launching new and exciting Space bound projects. Our team is vibrant and full of great personalities and ideas. We have a common desire to reach for the next step in mankind's journey into Space, that's why we need innovative, dedicated and open minds to help us fully accomplish our mission. If you feel you can be part of it all, we want to hear from you!",marta.lebron@zero2infinity.space,https://spaceindividuals.com/var/www/images/b82d54a7f6b71a51767c4239fd6b68e3.jpg,https://spaceindividuals.com/var/www/images/ffef9e4474b9ed6c8aecebc9fb0f9cbe.jpg,https://spaceindividuals.com/var/www/images/81181d8ffcf40dcc6c03930e80928378.png,true,,https://spaceindividuals.com/var/www/images/36ce1bf7dae4700766f817db3b80a913.png,,free,+34 938 546 551,1-25 employees,"From the public to the gurus of aerospace, most people still think that Space will remain the realm of a few superpowers, large defense contractors and the odd billionaire... but we won't settle for that. At Zero 2 Infinity we chose to carry the burden of proof that there is indeed a better way, one that allows you to realize your dreams in Space.

We currently have two big projects:
Bloostar is our dedicated satellite launcher. 
Bloon is our pod for Space tourism. 
",,,,,,,,,,,,http://www.zero2infinity.space,2017-08-12T14:06:08.000Z,marta.lebron@zero2infinity.space,,0,2018-06-12T08:35:59.186Z,,https://spaceindividuals.com/var/www/images/99d834751c91c0eb6557fa3e487e9f44.jpg,https://spaceindividuals.com/var/www/images/16474aaeb35a3a8c12083d9ede1f4b4f.jpg,https://spaceindividuals.com/var/www/images/86267ae9e73e2256cd809380b987b6ad.jpg,,,,,,,,,,,,,,,,,
58e387e3de9c102b036043e0,58e3892fde9c102b036043e1,"EUMETSAT is Europe's meteorological satellite agency. Our purpose is to gather accurate and reliable satellite data on weather, climate and the environment around the clock, and to deliver them to our Member and Cooperating States, to our international partners, and to users world-wide.",https://spaceindividuals.com/var/www/images/ea9a08388d6c42149185b298168ddc3c.jpg,"Eumetsat Allee 1, 64291 Darmstadt, Germany",EUMETSAT,2017-08-14T14:06:08.000Z,"EUMETSAT’s Staff Training Policy is designed to provide a system and programme of training for staff which will enable them to carry out their duties and develop their skills effectively and efficiently. The policy also takes into consideration training requirements arising from the needs of current and future satellite programmes, and to enable staff to progress their careers within EUMETSAT and beyond. Every member of staff has an individual Development Plan agreed with their manager as part of the annual appraisal process, and we invest heavily to ensure that in partnership, staff get the training support they need.

LANGUAGE TRAINING
Staff members who wish to further improve their linguistic skills for professional or personal reasons can take advantage of EUMETSAT’s in-house classes run by native speaking teachers in each of its official languages, English and French. German classes are also available to help people integrate into their new home environment. 

CORE SKILLS TRAINING
EUMETSAT regularly runs a programme of internal courses on a variety of topics, ranging from IT basics to interpersonal and management skills.

OPEN LEARNING/SELF-STUDY
EUMETSAT invests in self-study learning resources, including interactive CD-ROM programmes, video-based learning, as well as books. These resources cover a wide range of topics, and staff may request particular resources to be procured on their behalf. There is also a scientific library on-site to serve the professional needs of staff.",recruitment@eumetsat.int,https://spaceindividuals.com/var/www/images/1a8fb1f2c5aec9290a3a13076f5bbf27.jpg,https://spaceindividuals.com/var/www/images/5e7e90342aa202e3c27b643b998b7488.jpg,https://spaceindividuals.com/var/www/images/10f28e08e561ef303ae416cc08b49719.jpg,true,,https://spaceindividuals.com/var/www/images/029a92017cfe8fac6a5e9906b3a15668.png,,free,+49 6151 807 7,500-1000 employees,"We operate a system of meteorological satellites that observe the atmosphere and ocean and land surfaces – 24 hours a day, 365 days a year. This data is supplied to the National Meteorological Services of the organisation's Member and Cooperating States in Europe, as well as other users worldwide.

The service provided by EUMETSAT helps to enhance and safeguard the daily lives of European citizens. They aid meteorologists in identifying and monitoring the development of potentially dangerous weather situations and in issuing timely forecasts and warnings to emergency services and local authorities, helping to mitigate the effects of severe weather and protecting human life and property.

This information is also critical to the safety of air travel, shipping and road traffic, and to the daily business of farming, construction and many other industries.",EUMETSAT is very different from my previous company. There are many nationalities here and I like learning about the way people think and do things. It’s interesting and I enjoy it!,Judit Papp,Budget Officer,I welcome the opportunity to work in an international environment and be part of a programme which I consider to be very important in view of meteorology and climate and look forward to seeing the first data from the EPS-SG missions.,"Pepe Phillips,",Remote sensing scientist post-eps,,,"EUMETSAT is a multinational organisation, with headquarters located in Darmstadt, Germany, 30 km from Frankfurt am Main.

EUMETSAT employees are business professionals who represent a diverse field of expertise, ranging from satellite operations, engineering, meteorology and data processing, to administration, law and finance.

The services of staff are complemented where necessary by consultants, and a departmental and divisional management structure is used to establish clear goals and targets, against which performance, individual training needs and personal development are assessed annually.",,,http://www.eumetsat.int,2017-08-14T14:06:08.000Z,temp@eumetsat.int,,0,2018-05-29T18:42:34.045Z,,,,,"I find my job very interesting, as it provides an overview of the constant evolution and development of the organisation, as well as very detailed insight into the technical elements, linked together through the respective requirements at each level, and the proper traceability between them.","Peter Albert,",Requirements Engineer,,,,,,,,,,,,,,
58e3dc8ede9c102b036044e7,58e3dcf2de9c102b036044e8,"Solenix is a privately owned, independent and internationally active company providing engineering and consulting services in the space market. We have a track record of successful projects carried out with ESA, EUMETSAT, national space agencies and various aerospace companies, and have activities outside the aerospace market. In the software engineering domain, we are specialized in the implementation of distributed system and client applications, applying modern technologies and with a focus on the provision of performing, robust and light solutions.",https://spaceindividuals.com/var/www/images/52251f825f0c59bf2ee429c075262fa8.jpg,"Bornstrasse 3, 4616 Kappel, Switzerland",Solenix GmbH,2018-03-03T14:00:04.000Z,"- Attractive salary, benefits and rewards. Besides the standard benefits you would expect, such as holidays, health insurance or pension, we offer a variety of support packages to help you with settling into your new job. We appreciate your performance and commitment and reward you with a combination of bonus schemes and company benefits.

- Being part of a growing and professional company, where people are our greatest assets. At Solenix we care about our people and their individual situation, for example offering support in career development or looking into options helping you balance your work and personal life. We have a personal and flexible approach and you will be supported by a friendly and competent team. We also know it cannot be all work and no play and we organise plenty of activities for having fun and releasing energy from a hard week!

- Numerous possibilities for career development. Solenix works for a number of Agencies across Europe including ESA, EUMETSAT and DLR. This means we can offer a diverse range of positions and projects that, together with training and development, will support you to achieve your professional goals and ambitions. Furthermore, the close connection between the in-house team and the consultancy teams enables skill transfer and cross training, making sure you are always up to date.

- Participation in innovative and pioneer projects. Besides our customer-driven projects, we are also interested in developing new and challenging business ideas. Our team is encouraged to contribute to our expanding software product range, be it with innovative ideas, supporting the development or helping in its promotion.",career@solenix.ch,https://spaceindividuals.com/var/www/images/be4dc86c6921c9f0729241f5f81dbaec.jpg,https://spaceindividuals.com/var/www/images/3e13ef7d2b8cb7b6b059994e68398d9c.jpg,https://spaceindividuals.com/var/www/images/0bf399d70514c1edf6d913e4edbabd4f.jpg,true,,https://spaceindividuals.com/var/www/images/3b71131a4a213e1f17af26bf80ac0d97.png,,free,+41 62 216 35 02,25-50 employees,"Solenix provides consultancy and software engineering services. On the consultancy side, we cover a wide range of domains starting from spacecraft operations services, general engineering and management support, to research and development of advanced technologies and concepts.

Our software engineering team is specialised in the development and maintenance of mobile solutions and data-driven software including visualisation and dashboard tools, data analytics systems, event monitoring and alarming platforms.

Specialties: Software Services, Software Consulting, Software Engineering, Software Maintenance, Distributed Systems, Large Data, Smart Client, High Performance Storage, Data Mining, Data Visualization, Telemetry Analysis, Anomaly Investigation, Dashboard, and Earth Observation Client

",,,,,,,,,"Whether you are passionate about the space industry or you want to apply your skills and experience in an unique environment, we are interested in hearing from you.

We are known for high quality services, user-oriented solutions, reliable partnerships and constructive collaboration. Our company is made up of motivated, highly skilled and experienced professionals that are enthusiastic about space and their work. If you identify with this culture, we have different possibilities for you:
- Join our in-house development team, where you will work alongside creative software engineers in innovative projects supporting our customers, internal product development and research activities.
- Become part of our technical and scientific consultancy teams placed directly at our customer premises all over Europe.

If you are looking for an internship, semester project, thesis or similar, please get in touch with us. We have various topics available and we are open to suggestions! Currently open positions are listed below. However, we are always interested in competent people and we are happy to receive spontaneous applications.",,,http://www.solenix.ch,2018-03-03T14:00:04.000Z,mara.mcclain.pleskot@solenix.ch,,0,2020-11-09T14:27:50.753Z,,,,,,,,,,,,,,,,,,,,,
58e4baf8de9c102b036045a4,58e4bbcade9c102b036045a5,"ISIS – Innovative Solutions In Space BV is a vertically integrated small satellite company, focused on providing high value, cost effective space solutions by making use of the latest innovative technologies. The company is focused on nanosatellites in the range of 1 to 30 kilograms. As one of Europe’s leaders in the nanosatellite domain, ISIS offers contract research, innovative small satellite parts, sub-systems and platforms as well as turnkey space solutions to a broad range of customers for small satellite missions and applications. ISIS supports nanosatellites throughout their lifecycle and as such is an active player in the domains of system level testing, launch services and operations of nanosatellites. 

Based in the Netherlands, ISIS employs over 75 specialist employees, all of which have a background in space technology and engineering, and operates from its main site on the high tech campus of Delft. At this site, ISIS also has its assembly, integration and test facilities that include a class 10,000 (ISO 7) integration cleanroom and a broad range of (environmental) test equipment and  development labs. In addition, ISIS has a development branch office in South Africa, in Somerset West and the company has an international network of partners and reseller agents. ",https://spaceindividuals.com/var/www/images/ba9f85e22eba1616f83389f7b2cb8bbb.jpg,"Motorenweg 23, 2623 CR Delft, Netherlands",ISIS - Innovative Solutions In Space,2017-05-30T00:00:00.000Z,"ISIS allows its employees to contribute great ideas, grow their careers, hone their skills or develop new skills. We greatly encourage new ideas and are open to suggestions from all employees on how to make ISIS a better company and how you can play a role in that. Professional growth brings value to you, your colleagues and the company. Therefore, we promise not just a job, but a career. A career at ISIS means working in a very stimulating and challenging environment and allows you to develop yourself in a variety of roles. Depending on your own interest and qualifications, you can have a career in technology, either as a specialist or a generalist. Alternatively there are opportunities in a managerial or project management role. ISIS offers a broad range of personal training or skills development opportunities that can be tailored to your specific personal needs and interests, as well as a number of courses and training aimed at the entire organization. Examples of training and courses followed by ISIS employees include Space Systems Engineering, PRINCE2 project management, Leadership development, and RF measurement techniques. In addition, it is very much encouraged to be involved in a support role within the company next to your main role, such as providing assistance in business development, process definition or technology roadmapping.",info@isispace.nl,https://spaceindividuals.com/var/www/images/66258840978ce483eb7e34a4f86c8346.jpg,https://spaceindividuals.com/var/www/images/5b18d84ec97b4709779f9ca364173f0e.jpg,https://spaceindividuals.com/var/www/images/fbde6954fd07061136a6b5b115692c71.jpg,true,,https://spaceindividuals.com/var/www/images/f8f4cd0587719350e2e1c7265bd8f4f3.png,,free,+31(0)152569018,50-100 employees,"The company’s core competencies lie in the application of space systems engineering in combination with an expertise in the following technical areas: radiofrequency systems and payloads, deployable systems and hold-down and release mechanisms, attitude determination systems, and embedded systems. Within this last category, sensor networks technology is also included. 

ISIS is involved in various national and international technology research programmes related to miniaturization, interfacing and small satellites. With its products and services ISIS supports customers from all over the globe. 
",,,,,,,,,"At ISIS we bring together, skilled and creative people to work in a multidisciplinary environment. We like to hire, develop and retain the best talent and skills, irrespective of your origin. Our people come from all over the world, including senior management. At present we have more than 20 different nationalities working for our group and everyone is tuned to working in the international environment that is the space sector. Spacecraft engineering offers complex problems for bright people. Especially in our domain of very small satellites our engineers are challenged to find innovative ways to obtain maximum performance out of as little resources as possible. The multidisciplinary aspects of satellite engineering force you to think outside the box and consider a full system's view in order to solve the engineering challenges. Above all, ISIS is a company with a lot of dedicated people that are fun and pleasant to work with. We are a very down to earth organization while at the same time being a global leader in the field of nanosatellites.",,,https://www.isispace.nl,2017-05-30T00:00:00.000Z,a.gentea@isispace.nl,,0,2019-08-01T07:35:32.609Z,,,,,,,,,,,,,,,,,,,,,
58e4d8cfde9c102b03604610,58e4d8f2de9c102b03604611,"Ripple Aerospace is an Norwegian Aerospace startup designing, manufacturing and launching advanced oceanic cargo rockets. Inspired by NASA’s Sea Dragon program and Norway’s maritime heritage, Ripple’s team has been developing the Sea Serpent rocket class since 2014 and established Ripple Aerospace in 2016 to commercialize the first oceanic launch system. Our aim is to bring to market a reusable, mobile and mass produced rocket capable of being launched in any maritime environment around the global.

The Sea Serpent team is comprised of a diverse group of rocket scientists, engineers, shipbuilders and space operators from companies in Norway, United States, and Australia with the unifying goal of developing Sea Serpent rockets. ",https://spaceindividuals.com/var/www/images/c5499eb8065606d52b7d7a6f145ee945.jpg,"Vestre Strandgate 19B, 4611 Kristiansand, Norway",Rippleaerospace,2017-08-07T00:00:00.000Z,,kristoffer@rippleaerospace.com,https://spaceindividuals.com/var/www/images/385ceec16a4819c81ee4498289cb4b49.jpg,https://spaceindividuals.com/var/www/images/4be061d8f8409ec502f8e60c6227281d.jpg,https://spaceindividuals.com/var/www/images/95d44c9a90858b56067d13d24a7e5530.jpg,true,,https://spaceindividuals.com/var/www/images/4295d4703296f9a0e8cc39cbe2c7f971.png,,free,(+47) 90569963,25-50 employees,"Sea Serpent Class Oceanic Rockets. Serpent class rockets are two-stage, reusable, ocean rocket family being developed by Ripple Aerospace in Norway. Designed to transport payloads to LEO, GSO and deep space, Sea Serpent rockets will bring to market the lowest cargo transportation costs on the market.

Leveraging Norway’s heritage in maritime construction and their state-of-the-art facilities, Serpent class rockets will be mass produced within Norwegian shipyards and towed directly to launch sites via tug boats. With the ability of integrating into the global logistics network and the elimination of fixed launch sites, Serpent class rockets will be a radical shift in the current launch system model and provide greater access to space.

Maritime Rocket Manufacturing. Sea Serpents will be  manufactured and assembled in dry docks on shipyards. Utilizing maritime manufacturing processes will reduce development costs. Increasing manufacturing output will allow for mass production capabilities, eliminate the need to make dedicated rocket manufacturing sites, and allow rockets to be built, stored and refurbished in local ports.",,,,,,,,,,,,http://www.rippleaerospace.com,2017-08-07T00:00:00.000Z,temp@rippleaerospace.com,,0,2018-06-12T08:36:08.469Z,,,,,,,,,,,,,,,,,,,,,
5907d2ba5a0782e629c7c66a,5907d2c75a0782e629c7c66b,"SpaceVR was started to transform productivity and enhance our perspective of our place in the universe using Virtual Reality (VR). Our first product - literally launching in Q4 of 2017 is Overview 1, a 3U CubeSat that transmits 360 degree video from outside of the International Space station to clients on Earth enabling everyone to experience the “Overview Effect” - a cognitive shift in awareness, reported by some astronauts and cosmonauts during spaceflight, often while viewing the earth from orbit or from the lunar surface. It explains the life changing experience gained from seeing first-hand the reality of the Earth in space. SpaceVR's second product Human builds upon this VR infrastructure to enable space settlement via increased human capability and job productivity on Earth.",https://spaceindividuals.com/var/www/images/e8ff7f1b5a63db91c226c805099f6c28.png,"San Francisco, CA, USA",SpaceVR,2017-06-04T00:00:00.000Z,"Growth up to VP positions in engineering, marketing, and business development.",blaze@spacevr.co,https://spaceindividuals.com/var/www/images/cd8fa4814aef6943ca6395fcb1848636.png,https://spaceindividuals.com/var/www/images/2a90de7dc2ac480c7569616a276d4f93.jpg,https://spaceindividuals.com/var/www/images/1dce33004189ddb09491bda17ddbc66b.jpg,true,,https://spaceindividuals.com/var/www/images/264f88b62790c509a61b258b68ec7ffd.png,,free,4159103307,1-25 employees,SpaceVR is building Human™ - a Virtual Reality (VR) controllable humanoid robot designed to perform labor on Earth and in space.  ,,,,,,,,,Startup where you are the boss,,,https://www.spacevr.co,2017-06-04T00:00:00.000Z,blaze@spacevr.co,,0,2018-06-12T08:36:25.114Z,,,,,,,,,,,,,,,,,,,,,
