﻿Annual Maximum and Minimum Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Year,MM--DD,MAX,SYM,MM--DD,MIN,SYM
08LE070,2,1951,05--28,347.850,,,,
08LE070,2,1952,06--11,348.246,,,,
08LE070,2,1953,06--18,348.094,,,,
08LE070,2,1954,07--10,348.749,,,,
08LE070,2,1955,07--01,348.841,,,,
08LE070,2,1956,06--13,348.429,,,,
08LE070,2,1957,06--13,348.536,,,,
08LE070,2,1958,06--12,348.643,,,,
08LE070,2,1959,07--03,348.368,,,,
08LE070,2,1960,07--04,348.185,,,,
08LE070,2,1961,06--15,348.661,,,,
08LE070,2,1962,06--28,347.774,,03--23,344.692,
08LE070,2,1963,06--20,347.542,,02--10,345.000,
08LE070,2,1964,06--22,348.789,,03--29,344.647,
08LE070,2,1965,06--19,348.124,,03--28,344.881,
08LE070,2,1966,06--20,348.100,,03--27,344.836,
08LE070,2,1967,06--26,348.850,,03--24,344.982,
08LE070,2,1968,06--29,348.277,,02--28,345.052,
08LE070,2,1969,,,,03--22,344.857,
08LE070,2,1970,06--20,347.649,,03--14,344.869,
08LE070,2,1971,06--16,348.749,,03--31,344.948,
08LE070,2,1972,06--14,349.667,,12--31,345.012,
08LE070,2,1973,07--01,347.737,,03--18,344.872,
08LE070,2,1974,06--27,349.264,,12--31,344.881,
08LE070,2,1975,06--26,348.524,A,04--24,344.833,
08LE070,2,1976,07--10,348.460,,03--17,344.897,
08LE070,2,1977,06--20,347.353,A,02--09,344.845,
08LE070,2,1978,06--16,347.972,,03--12,344.762,
08LE070,2,1979,06--14,347.439,,03--02,344.799,
08LE070,2,1980,06--07,347.530,,02--27,344.604,E
08LE070,2,1981,06--08,348.273,,01--22,345.409,
08LE070,2,1982,06--28,348.850,,03--24,345.129,
08LE070,2,1983,06--10,348.221,,02--09,345.046,
08LE070,2,1984,07--06,348.583,,,,
08LE070,2,1985,06--09,348.589,E,03--19,344.628,A
08LE070,2,2011,06--25,348.684,,03--13,344.857,
08LE070,2,2012,06--27,349.395,,03--10,344.798,
08LE070,2,2013,07--03,348.462,,02--22,344.957,
08LE070,2,2014,06--06,348.517,,03--02,344.780,
08LE070,2,2015,06--10,347.693,,08--31,345.251,
08LE070,2,2016,05--30,347.962,,02--11,345.225,
08LE070,2,2017,06--10,349.018,,10--16,344.933,
08LE070,2,2018,05--29,349.104,,03--18,344.854,
08LE070,2,2019,06--05,347.556,,03--22,344.866,E
08LE070,2,2020,07--04,349.058,,03--28,345.094,
08LE070,2,2021,06--29,347.868,,03--19,345.086,
