id,viewCount,commentCount,likeCount
xfYAj1k9uZM,133732158,16477,192651
adUlm2m7RrU,105455480,3965,324069
x7JAconQHio,75282259,1782,1144841
rLycYSY2V6Y,50572913,3333,295369
Elanur6LRLg,49657008,21499,931417
rfscVS0vtbw,39733137,43314,961037
5ADMawsgV5M,37326054,642,123306
_Z0pwIcSx2Y,32889614,12093,492153
_uQrJ0TkZlc,32861825,53607,943828
nqIkeRGmw-M,31859737,0,3687351
QPVwAPEJzW8,30872518,8106,183604
wPQzenQMxKs,28863552,14678,293133
dqvVnEuyLiM,25019729,2057,251911
2vyjmTAWbvU,24819236,1969,52430
UO08RcIkU6Y,24299751,3134,137218
puY5zCB4fHM,23439753,1914,430951
szlM0d2l6XQ,21183586,517,82074
gfDE2a7MKjA,20624019,117469,581874
BeCzViv4k_s,20416695,1078,113194
L2JCt6-adsg,13485032,1028,27585
0qiAUc06HJw,12730267,4107,135401
kqtD5dpn9C8,10854519,15704,273785
k83fmb4iYnA,10799448,546,39412
x0rk5zh7RaE,10456721,2359,22055
XKHEtdqhLK8,9492966,14932,506240
UmzPf8GhQgE,9294141,18333,152416
W9hlMSsdqik,9095622,179,25839
fp5-XQFr_nk,8854933,19642,366654
ZcTfvGljAWA,7830770,0,628976
ToNwDxVNQ_E,7315172,1249,25643
8WkKm1Na1Z0,7310925,1904,38682
91zHihHDvJA,7319973,898,182854
chPhlsHoEPo,7191158,6287,152260
UtNYzv8gLbs,6311799,3976,277802
WGJJIrtnfpk,6035047,1255,119213
8DvywoWv6fI,5808611,4476,164844
sCOw5y1RQpY,5653445,1798,140678
I0KakcECHvQ,5215460,541,207887
vLqTf2b6GZw,5177226,4461,148490
T936yTchDck,4849849,1823,92363
k9WqpQp8VSU,4848962,4724,232461
jiu0lYQIPqE,4774218,1946,0
5g-MHZ0MzZY,4765062,6704,181219
LFrdqQZ8FFc,4528090,3238,59815
KdZ4HF1SrFs,4499192,5214,115146
kWiCuklohdY,4485789,13123,95156
ToBwqQrAaDk,4402687,406,23274
LmEcyQnfpDA,4218077,1199,56306
XQ3qy_cl3wE,4157479,8598,291772
t8pPdKYpowI,4103529,3134,115514
