VidID,User,Date,Comment
eIrMbAQSU34,Akshita Srivastava,2 years ago,CAN WE JUST APPRECIATE THE FACT THAT WE ARE GETTING ALL THIS FOR FREE 9.5K 
eIrMbAQSU34,Захаров,10 months ago,TABLE OF CONTENTS     0:00:00 Introduction   0:01:46 Installing Java    
eIrMbAQSU34,Raadhe Kumar,2 weeks ago,I am a beginner in java and this video was very helpful. Thanks a lot! It would be nice if part2 and 3 are also available in youtube :(  
eIrMbAQSU34,🐬 LOEHCRACK Is on IG🐬,7 months ago,"Your dedication & Hardwork shows how legit and reliable you are, honestly working with you can’t express how grateful I’m right now”️  "
eIrMbAQSU34,Putu Ravindra Wiguna,1 year ago,"Hey mosh, i don t know if you are going to read this but, I just want to say thank you for giving us free lesson here on youtube. It really helps a lot of people like me, and also the course that you are giving is great and very well explained, makes us the student, understand the core and concept idea even deeper :D  "
eIrMbAQSU34,William Townsend,1 year ago,"Love your tutorials, Mosh! I m struggling with a Java class, and I did your Python tutorial and really enjoyed it, so I m doing the Java one and it s making my class much easier. You are a fantastic teacher!  "
eIrMbAQSU34,ParáSol,1 year ago,"Mosh, you re sincerely the best thing to happen to the programming community on youtube, ever. Thanks for everything you do on a daily basis, you help thousands of people like me that want to improve on their careers and become better programmers.  "
eIrMbAQSU34,Beatriz Maria Mendez,1 year ago,"I am a teacher and a learner and the way you explain such a complicated and abstract concepts like classes, functions, and methods, is outstanding. Great teaching skills!  "
eIrMbAQSU34,Tristan Möller,7 months ago,"Dear Mosh,  you are the best thing that has happened to me in my coding journey! I just finished the last exercise on your third java course (was difficult, not gonna lie) but I can now read and understand the java documentation for so many libraries or watch YouTube videos explaining them with ease! I cannot wait to continue my learning experience and am incredibly thankful that you provided a clear structure and the assurance, that the time I m spending will be worth it!     "
eIrMbAQSU34,cocomad fans,5 months ago,"I watched your python tutorial, the 6 and a half hour one, and made quite a few python projects. I really appreciate the effort you put into these videos, really helpful. "
eIrMbAQSU34,Luke Turton,2 months ago,"Mosh has a very friendly and effective approach to teaching Java, and I am really enjoying going through this course. I very much reccomend to anyone looking to learn the contents of this course! Cheers Mosh :)  "
eIrMbAQSU34,Flex-Killer,4 weeks ago,"Hello Sir Mosh,  Thank you for an amazing course, this made it very easy to get started with Java!    "
eIrMbAQSU34,KaiZen,1 year ago (edited),"31:27 Using underscore for place value separation. 32:06 Defining value as ""long"" by suffixing L. 32:59 Defining value as ""float"" by suffixing F. 49:50 Trimming strings.    "
eIrMbAQSU34,Aizan Malik,1 year ago,"Mosh I really appreciated your work you have done in making this video. At the start, I was thinking that Java will be difficult for me but the way you taught the way you taught us how to write clean code really happy for it. You just made JAVA easy for me and all other ones who are determined of learning it. THANK YOU!  "
eIrMbAQSU34,XxLascaxX,5 months ago,"Dude, you actually make learning to code fun. Literally no professor in the top unis can do it quite like you do. Thank you for this, you are a great teacher! "
eIrMbAQSU34,Niall Scanlon,3 years ago,Its actually crazy how much more you ve taught me compared to my university lectures. Thanks so much man.  
