VidID,User,Date,Comment
rfscVS0vtbw,@sindid169,3 years ago,0:00 introduction  1:45 installing python and pycharm  6:40 setup and hello world  10:23 Drawing a shape   18K 
rfscVS0vtbw,@betadelphini4036,5 months ago (edited),"4 years ago I randomly searched for a programming tutorial to get in to software industry, landed on this tutorial by Mike, loved his teachings immediately, and that s how I got in to Python Programming, I am now a Lead Software Engineer developing Python applications at a Tier-1 IT services company!  "
rfscVS0vtbw,@alexih.1601,3 months ago,"I ve finally ended the course and I feel so proud of myself! I m 19 and i m going to become a programmer. I know it. Thank you, Mike Dane, for that awesome course! Your teaching style is amazing!  "
rfscVS0vtbw,@adamakaba2267,4 months ago,"So, I just finished this course in about 2 full days with notes with step by step pausing each time. It is very time consuming, but compared to paying for classes/courses (which I have already done) this has to be one of the best free courses as it teaches you many basics that you can implement into more complex problems. I am very grateful to be alive in era where we can experience quality teaching with no cost. Thank you so much!!  "
rfscVS0vtbw,@cleanestpeanest420,3 weeks ago,"I m an hour through this, and EVERY question I ask myself, he IMMEDIATELY explains. Very good educating.  "
rfscVS0vtbw,@BasedBozo,3 months ago,Thank you sir. As a 14 year old I m surprised how easy and fun this course is to understand. I have always wanted to learn coding for fun and to get experience early on for what I want to do in the future (I want to do computer science). People like you who take the time to do stuff like this are the best!  
rfscVS0vtbw,@rajeswarynarasimman3728,1 year ago,I learnt python from this video last year. I cleared two interviews in python this year and I am in a new job. Thank you ️ 5.5K 
rfscVS0vtbw,@postivemindset6,5 months ago,I love the delivery of this course. I m 66 years old. It just started learning python. Thanks to your course I am quite confident I will progress well. All the best  
rfscVS0vtbw,@utkuacarsoy8731,11 days ago,I watched this three times over three years every time I forget and wanted to start learning python again. It is the best tutorial that I find on YouTube much thanks to Mike. He is a great instructor. I really appreciate.  
rfscVS0vtbw,@phanthibaovien,3 weeks ago,So proud to complete and this s a perfect tutorial! A present for myself in New Year time! Thank you Mike!  
rfscVS0vtbw,@wingwangasianbang2806,5 months ago (edited),Note: Day1: 48:29 Getting input from users Day2: 1:24:16 Functions Day3: 2:20:00 Guessing Game    
rfscVS0vtbw,@uditghelani5423,7 days ago,"THIS IS THE BEST PYTHON COURSE YOU CAN FIND ON THE INTERNET! Not too long, concise in explaining all the concepts and amazing examples to simplify the concepts. Thank you Mike!  "
rfscVS0vtbw,@kinetsievarvenfloot1237,1 year ago,Absolutely insane that we live in an age in which we can learn an entire programming language - FOR FREE - online. 2.5K 
