Organization,Program,2017-18  Actual FTEs,2018-19  Actual FTEs,2019-20  Actual FTEs,2020-21  Actual FTEs,2021-22  Actual FTEs,2023-24  Planned FTEs,2024-25  Planned FTEs,2025-26  Planned FTEs
Atlantic Canada Opportunities Agency,Enterprise Development,217,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,Community Development,94,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,"Policy, Advocacy and Coordination",65,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,Inclusive Communities,0,39,32,36,43,32,32,32
Atlantic Canada Opportunities Agency,Diversified Communities,0,71,74,71,76,77,76,76
Atlantic Canada Opportunities Agency,Research and Development and Commercialization,0,56,57,58,55,57,57,57
Atlantic Canada Opportunities Agency,Innovation Ecosystem,0,15,14,14,16,15,14,14
Atlantic Canada Opportunities Agency,Business Growth,0,92,93,99,97,97,93,93
Atlantic Canada Opportunities Agency,Trade and Investment,0,40,40,39,39,41,41,41
Atlantic Canada Opportunities Agency,Policy Research and Engagement,0,65,68,66,68,68,68,68
Atlantic Canada Opportunities Agency,Internal Services,195,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,Internal Services,0,194,197,201,201,197,196,196
Canadian Nuclear Safety Commission,Nuclear Fuel Cycle Program,0,81,77,73,72,89,86,86
Canadian Nuclear Safety Commission,Nuclear Reactors Program,0,301,294,279,284,318,318,318
Canadian Nuclear Safety Commission,Nuclear Substances and Prescribed Equipment Program,0,85,81,77,79,88,88,88
Canadian Nuclear Safety Commission,Nuclear Non-Proliferation Program,0,31,31,29,25,34,34,34
Canadian Nuclear Safety Commission,"Scientific, Regulatory and Public Information Program",0,127,122,123,132,153,152,152
Canadian Nuclear Safety Commission,Nuclear Fuel Cycle,62,0,0,0,0,0,0,0
Canadian Nuclear Safety Commission,Nuclear Reactors,278,0,0,0,0,0,0,0
Canadian Nuclear Safety Commission,Nuclear Substances and Prescribed Equipment,78,0,0,0,0,0,0,0
Canadian Nuclear Safety Commission,Nuclear Non-proliferation,29,0,0,0,0,0,0,0
Canadian Nuclear Safety Commission,"Scientific, Technical, Regulatory and Public Information",138,0,0,0,0,0,0,0
Canadian Nuclear Safety Commission,Internal Services,269,0,0,0,0,0,0,0
Canadian Nuclear Safety Commission,Internal Services,0,293,281,269,279,301,300,300
Atomic Energy of Canada Limited,Atomic Energy of Canada Limited,0,0,0,0,0,0,0,0
Atomic Energy of Canada Limited,Nuclear laboratories,0,0,0,0,0,0,0,0
Atomic Energy of Canada Limited,Nuclear decommissioning and radioactive waste management,0,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Business Risk Management,350,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Canadian Pari-Mutuel Agency,31,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Farm Products Council of Canada,18,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,"Science, Innovation, Adoption and Sustainability",2594,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Industry Capacity,117,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Trade and Market Expansion,0,183,191,190,181,180,180,180
Agriculture and Agri-Food Canada,Sector Engagement and Development,0,184,181,191,218,207,196,196
Agriculture and Agri-Food Canada,Farm Products Council of Canada,0,17,19,20,18,18,18,18
Agriculture and Agri-Food Canada,Supply Management Initiatives,0,46,49,36,40,42,46,44
Agriculture and Agri-Food Canada,Canadian Pari-Mutuel Agency,0,31,35,30,30,32,32,32
Agriculture and Agri-Food Canada,Water Infrastructure,0,36,34,23,0,0,0,0
Agriculture and Agri-Food Canada,"Federal, Provincial and Territorial Cost-shared Markets and Trade",0,5,4,5,5,4,4,4
Agriculture and Agri-Food Canada,Community Pastures,0,15,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Food Policy Initiatives,0,0,6,24,31,31,0,0
Agriculture and Agri-Food Canada,Water Infrastructure Divestiture,0,0,0,0,0,14,14,14
Agriculture and Agri-Food Canada,Foundational Science and Research,0,2404,2408,2360,2336,2329,2329,2329
Agriculture and Agri-Food Canada,AgriScience,0,175,188,181,204,176,176,176
Agriculture and Agri-Food Canada,AgriInnovate,0,20,20,29,37,29,29,29
Agriculture and Agri-Food Canada,Environment and Climate Change Programs,0,10,8,9,15,71,64,64
Agriculture and Agri-Food Canada,Canadian Agricultural Strategic Priorities Program,0,10,9,12,12,5,5,5
Agriculture and Agri-Food Canada,"Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment",0,14,17,23,27,29,29,29
Agriculture and Agri-Food Canada,AgriStability,0,153,156,150,143,141,141,141
Agriculture and Agri-Food Canada,AgriInvest,0,127,125,117,107,97,97,97
