Organization,Vote 2021-22 / Statutory - Description,2017-18 - Total budgetary authority available for use,2017-18 - Expenditures,2018-19 - Total budgetary authority available for use,2018-19 - Expenditures,2019-20 - Total budgetary authority available for use,2019-20 - Expenditures,2020-21 - Total budgetary authority available for use,2020-21 - Expenditures,2021-22 - Total budgetary authority available for use,2021-22 - Expenditures
Atlantic Canada Opportunities Agency,Operating/Program - 1,69938738,67005669,70427706,65427353,71610830,68838886,74468028,69790224,76419187,70687244
Atlantic Canada Opportunities Agency,Grants & Contributions - 5,283971202,283971197,290437502,276137362,274953030,274953026,452840687,441945575,373936114,363964211
Atlantic Canada Opportunities Agency,Budget Implementation Vote - 10,0,0,0,0,26772,0,0,0,0,0
Atlantic Canada Opportunities Agency,Budget Implementation Vote - 15,0,0,0,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,Contributions to employee benefit plans,8008731,8008730.71,8032837,8032837,7867729,7867729,9056403,9056403,8838758,8838758
Atlantic Canada Opportunities Agency,Losses on Foreign Exchange,0,0,0,0,0,0,549,549,0,0
Atlantic Canada Opportunities Agency,"Payments for the Community Futures Network pursuant to the Economic Statement Implementation Act, 2020",0,0,0,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,54252865,54252865,0,0
Atlantic Canada Opportunities Agency,"Payments to provide financing support to small and medium-sized businesses pursuant to the Economic Statement Implementation Act, 2020",0,0,0,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,Spending of proceeds from the disposal of surplus Crown assets,26694,0,46817,0,60700,0,36688,0,42130,0
Canadian Nuclear Safety Commission,Operating/Program - 1,43677119,41624040,42006376,41367246,42218783,40926404,42678051,34910780,43438842,35111799
Canadian Nuclear Safety Commission,Contributions to employee benefit plans,13577597,13577596.76,13945723,13945723,13927150,13927150,13648457,13648457,13379324,13379324
Canadian Nuclear Safety Commission,Spending of proceeds from the disposal of surplus Crown assets,11443,0,55058,46344,8784,8714,19237,0,88167,68330
Canadian Nuclear Safety Commission,Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act,98923804,94591668.22,99098859,93563793,97889710,93103115,96838652,90967784,99367108,94980845
Atomic Energy of Canada Limited,Payments to Crown Corps - 1,971355163,826595000,1043582932,826233292,1197832026,866040000,1254166523,935540678,1228304417,1008769322
Atomic Energy of Canada Limited,Payments to Atomic Energy of Canada Limited,0,0,3000000,3000000,2100000,2100000,5200000,5200000,0,0
Agriculture and Agri-Food Canada,Operating/Program - 1,606696605,591991077,622434649,605634473,610571958,595526363,625349227,614071679,655426566,629882264
Agriculture and Agri-Food Canada,Capital - 5,80136193,56866815,68942412,56935866,63036237,46211510,52877240,47432694,56290221,49361746
Agriculture and Agri-Food Canada,Grants & Contributions - 10,394757984,362448384,426625000,361215657,477341293,439053063,620499297,512343128,751121738,681734044
Agriculture and Agri-Food Canada,Budget Implementation Vote - 15,0,0,0,0,17486092,0,0,0,0,0
Agriculture and Agri-Food Canada,Canadian Pari-Mutuel Agency Revolving Fund,11514334,-271765.39,11735844,-317142,12002731,225726,11726750,1368493,10307997,423721
Agriculture and Agri-Food Canada,Class grant payments for the Farm Income program,3851,3851.26,6652,6652,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Class grant payments for the Transitional Industry Support program,0,0,-1553,-1553,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Contribution payments for the AgriInsurance program,651704357,651704357.46,664580115,664580115,666672139,666672139,645912746,645912746,719839291,719839291
Agriculture and Agri-Food Canada,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,15135072,15135072.32,894000,894000,9418344,9418344,21267302,21267302,443726742,443726742
Agriculture and Agri-Food Canada,Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,-34752,-34752,-199594,-199594,-25677,-25677,-14167,-14167,-5883,-5883
Agriculture and Agri-Food Canada,Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management,-354634,-354634.34,0,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Contributions in support of the Assistance to the Pork Industry Initiative,-17722056,-17722056.5,-25287994,-25287994,-12550015,-12550015,-11891141,-11891141,-13040554,-13040554
Agriculture and Agri-Food Canada,Contributions to employee benefit plans,60258458,60258458.57,60062380,60062380,63840104,63840104,67789855,67789855,66003385,66003385
Agriculture and Agri-Food Canada,Grant and Contribution Payments for the AgriInvest Program,167614690,167614689.47,175134429,175134429,157681662,157681662,155431309,155431309,156426446,156426446
Agriculture and Agri-Food Canada,Grant and Contribution Payments for the AgriStability Program,61619352,61619352.33,215244344,215244344,194832517,194832517,215810537,215810537,231751590,231751590
Agriculture and Agri-Food Canada,Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,-30269,-30269.06,-33968,-33968,-19721,-19721,-10624,-10624,-9050,-9050
Agriculture and Agri-Food Canada,Grant payments for the Dairy Direct Payment Program (Farm Income Protection Act),0,0,0,0,338634953,338634953,459400130,459400130,460265904,460265904
Agriculture and Agri-Food Canada,Grants in support of the Cost of Production Benefit,2064,2063.86,0,0,0,0,0,0,0,0
Agriculture and Agri-Food Canada,Grants in support of the Grain and Oilseed Payment program,-5133,-5132.81,-5837,-5837,-739,-739,0,0,-8720,-8720
Agriculture and Agri-Food Canada,Grants to agencies established under the Farm Products Agencies Act,600000,0,600000,0,600000,0,600000,0,600000,0
Agriculture and Agri-Food Canada,Loan guarantees under the Canadian Agricultural Loans Act,385500,385500.11,-51408,-51408,786556,786556,1153635,1153635,113157,113157
Agriculture and Agri-Food Canada,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",29030974,29030973.55,36234391,36234391,62650051,62650051,24226244,24226244,30726946,30726946
Agriculture and Agri-Food Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,279636285,279636285,0,0
Agriculture and Agri-Food Canada,Refunds of amounts credited to revenues in previous years,0,0,14030,14030,13081,13081,69465,69465,27312,27312
Agriculture and Agri-Food Canada,Salary and Motor Car Allowance,84600,84600,86000,86000,87500,87500,89200,89200,90700,90700
Agriculture and Agri-Food Canada,Spending of proceeds from the disposal of surplus Crown assets,13910643,6171192.35,13214092,7800796,9457497,4893106,8640992,3528625,9961852,4615444
Administrative Tribunals Support Service of Canada,Operating/Program - 1,61734908,57442432,62104025,60752469,58713101,56260488,66602730,58202056,67661703,62225829
Administrative Tribunals Support Service of Canada,Budget Implementation Vote - 5,0,0,0,0,88345,0,0,0,0,0
Administrative Tribunals Support Service of Canada,Contributions to employee benefit plans,8072465,8072465.25,8778521,8778521,8788235,8788235,9947533,9947533,10044861,10044861
Administrative Tribunals Support Service of Canada,Spending of proceeds from the disposal of surplus Crown assets,2487,0,2658,0,1465,0,414,0,1229,0
Courts Administration Service,Operating/Program - 1,78786096,75914975,81326048,77917229,90552799,87245347,102788861,95358494,102523995,91601562
Courts Administration Service,Budget Implementation Vote - 5,0,0,0,0,176175,0,0,0,0,0
Courts Administration Service,Budget Implementation Vote - 10,0,0,0,0,880000,0,0,0,0,0
Courts Administration Service,Contributions to employee benefit plans,6864412,6864412.36,7382829,7382829,8080641,8080641,9341124,9341124,8755694,8755694
Courts Administration Service,Refunds of amounts credited to revenues in previous years,3878,3878,5100,5100,765,765,0,0,5125,5125
Courts Administration Service,Spending of proceeds from the disposal of surplus Crown assets,21908,7785.78,44355,14122,33609,0,13511,3376,10442,10135
Accessibility Standards Canada,Operating/Program - 1,0,0,0,0,5866751,2451196,10989720,8867425,11192901,7344635
