Organization,Program,2017-18 - Expenditures,2018-19 - Expenditures,2019-20 - Expenditures,2020-21 - Expenditures,2021-22 - Expenditures,2023-24 - Planned Spending,2024-25 - Planned Spending,2025-26 - Planned Spending
Atlantic Canada Opportunities Agency,Enterprise Development,201219381.99,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,Community Development,117229594.09,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,"Policy, Advocacy and Coordination",14295454.34,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,Inclusive Communities,0,38934704.33,35489825.87,125967182.68,48378814.8,30739920,27862204,26662209
Atlantic Canada Opportunities Agency,Diversified Communities,0,58179725.77,62973843.26,57848085.86,104562900.55,99235799,72749612,70542687
Atlantic Canada Opportunities Agency,Research and Development and Commercialization,0,59981940.39,46367397.71,38143196.44,21467705.02,44645892,43274269,43270583
Atlantic Canada Opportunities Agency,Innovation Ecosystem,0,47434874.4,37865419.03,50379061.56,63077344.37,52541665,44599682,42836723
Atlantic Canada Opportunities Agency,Business Growth,0,85160406.47,112150441.46,245917056.48,142994085.55,86961875,51879650,47028375
Atlantic Canada Opportunities Agency,Trade and Investment,0,19784891.53,15237853.97,13618402.36,18586454.65,34994933,23865268,24022499
Atlantic Canada Opportunities Agency,Policy Research and Engagement,0,13877883.38,14433423.62,13163971.21,15198821.82,13674698,12034713,12029665
Atlantic Canada Opportunities Agency,Internal Services,26241166.17,0,0,0,0,0,0,0
Atlantic Canada Opportunities Agency,Internal Services,0,26243126.2,27141436.09,30008659.47,29224086.46,27434430,27295761,27177515
Canadian Nuclear Safety Commission,Nuclear Fuel Cycle Program,0,13178829.8,12633565.73,11272970.42,11219953.44,18174153,18306265,18210075
Canadian Nuclear Safety Commission,Nuclear Reactors Program,0,45051656.64,46899808.28,42353756.94,43077729.93,47457274,47805511,48420967
Canadian Nuclear Safety Commission,Nuclear Substances and Prescribed Equipment Program,0,12050933.61,12380838.16,11142050.33,11558331.86,13378034,13476200,13649695
Canadian Nuclear Safety Commission,Nuclear Non-Proliferation Program,0,5097722.35,4639213,3916108.06,4042894.33,5105931,5143398,5209615
