X,Y,objectid,globalid,_date,Year,event_name,classification_status,rating_status,event_type,initial_data_sources,location_description,province,surveys_completed,damage,investigation_initiated_by_ntp,ground_survey_completed_indepen,event_description,web_map_link,CreationDate,Creator,EditDate,Editor,event_subtype,damage_summary,track_length,max_path_width,max_wind_speed,time,parent_storm_type,EFDOD,injuries,concurrent,uniqueID,mean_motion_from,day,month,timeUTC,timezone,fatalities_text,damage_cost_text,EventSummaryMapProvided,Province
-81.1471,43.0486000000001,1735,{DCC365EC-4863-4C45-83BC-65AED8D7EBA6},2017/04/11 17:00:00+00,2017,London,final_classification_completed,final_rating_completed,Tornado (Land),other,Start of damage track,Ontario,,ef1,,,"Summary of ECCC investigation: Tree damage and damage to a barn and power poles was reported north of the London airport after a storm passed through the area. A ground survey was completed by Western University on behalf of ECCC. Tornado damage assessed as EF1, with an estimated max. wind speed of 150 km/h, track length of 11.1 km and max. path width of 220 m. Tornado motion was from the WSW (approx. 250 degrees).",,2023/03/01 03:02:31+00,lellio44,2023/03/01 03:02:31+00,lellio44,,"Barn roof damage, snapped power poles, trees snapped/uprooted",11.1,220.0,150.0,1600,,SBO/DOD-4 (EXP+),0,,,250.0,11,Apr,2000,EDT,0,unknown,no,Ontario
-105.4383,52.7347,1732,{70BDBAB0-CF2E-4230-8EF7-DD42BE07A2DF},2017/05/14 17:00:00+00,2017,Tway,final_classification_completed,final_rating_completed,Tornado (Land),other,ECCC event location,Saskatchewan,,ef0,,,"Summary of ECCC investigation: A tornado report from the Tway area was submitted via the National Inquiry Response Team. Damage reported included minor barn roof damage, window and door damage to a garage and tossed patio furniture. EF-Scale assessment is EF1 tornado, with an estimated max. wind speed of 90 km/h. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,2023/03/01 02:59:02+00,lellio44,2023/03/02 02:27:22+00,lellio44,,"Patio furniture and planters moved, minor barn roof damage, garage door twisted and windows blown out
",,,90.0,1630,,C-SFLF/DOD-1 (EXP),0,,,,14,May,2230,CST,0,unknown,no,Saskatchewan
-105.7941,52.8711000000001,1733,{A6721FCD-E22F-4BDD-81CD-E5ABD7F6C548},2017/05/14 17:00:00+00,2017,Hoey,final_classification_completed,final_rating_completed,Tornado (Land),other,ECCC event location,Saskatchewan,,default_ef0,,,"Summary of ECCC investigation: A social media user posted a video of a tornado in the Hoey area. EF-Scale assessment is EF0-Default as no associated damage was reported. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,2023/03/01 03:00:03+00,lellio44,2023/03/01 03:00:03+00,lellio44,,,,,,1459,,,0,,,,14,May,2059,CST,0,unknown,no,Saskatchewan
-106.883,52.5245,1734,{D613217E-5BD0-43B1-8EA8-CF86B6500B46},2017/05/14 17:00:00+00,2017,Hepburn,final_classification_completed,final_rating_completed,Tornado (Land),other,ECCC event location,Saskatchewan,,default_ef0,,,"Summary of ECCC investigation: A witness reported a brief tornado west of Hepburn. EF-Scale assessment is EF0-Default as no associated damage was reported. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,2023/03/01 03:00:59+00,lellio44,2023/03/01 03:00:59+00,lellio44,,,,,,1440,,,0,,,,14,May,2040,CST,0,unknown,no,Saskatchewan
-78.5275,48.0605,1731,{A3AB997C-A3C4-4C1D-853B-24EA29A745FE},2017/05/29 17:00:00+00,2017,Lac Montanier,final_classification_completed,final_rating_completed,Tornado (Land),historical_investigation,Start of damage track,Quebec,satellite,ef1,yes,,"Historical investigation of high-resolution satellite imagery revealed a tornado damage path in forested areas near Lac Montanier. Tornado damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 1.84 km and max. path width of 330 m. Tornado motion was from the SSW (approx. 210 degrees).  ",,2023/03/01 02:57:39+00,lellio44,2023/03/01 02:57:39+00,lellio44,,,1.84,330.0,145.0,1810,,C-T/DOD-5 (LB),0,,,210.0,29,May,2210,EDT,0,unknown,no,Québec
-113.3828,51.8003,1730,{2C769118-5CD5-4E0D-8430-93C9B867D8E1},2017/06/02 17:00:00+00,2017,Three Hills,final_classification_completed,final_rating_completed,Tornado (Land),other,Start of damage track,Alberta,satellite,ef1,no,,"Summary of ECCC investigation: Witnesses captured photos and video of a tornado north of Three Hills. One injury was reported. Tree damage was reported along with structural damage to a barn, an empty grain bin and minor roof damage to a house. A recreational vehicle was also damaged. ECCC assessment of damage was EF1 tornado, with an estimated max. wind speed of 160 km/h based on reported damage to the grain bin. Summary of NTP investigation: NTP review of satellite imagery in the area identified the tornado damage track through cropland, with a length of 16.9 km and max. path width of 170 m. Tornado motion was from the NW (approx. 305 degrees). NTP review of associated damage confirmed EF1 damage with an updated estimated max. wind speed of 145 km/h based on structural damage to the barn roof. 
",,2023/03/01 02:56:23+00,lellio44,2023/03/01 02:56:23+00,lellio44,,"Barn roof damage, anchored empty grain bin thrown 400 m, trees snapped, recreational vehicle destroyed
",16.9,700.0,145.0,1700,,SBO/DOD-4 (EXP),1,,,305.0,2,June,2300,MDT,0,unknown,no,Alberta
-111.1758,53.5161000000001,1729,{7E960D5C-B702-4444-8B9B-CD0436AE9B94},2017/06/09 17:00:00+00,2017,Mannville,final_classification_completed,final_rating_completed,Tornado (Land),other,ECCC event location,Alberta,,default_ef0,,,"Summary of ECCC investigation: Multiple witnesses reported a landspout tornado north of Mannville. EF-Scale assessment is EF0-Default as no associated damage was reported. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,2023/03/01 02:54:16+00,lellio44,2023/03/02 02:28:05+00,lellio44,,,,,,1705,Landspout,,0,,,,9,June,2305,MDT,0,unknown,no,Alberta
-92.8029,49.7828000000001,435,{25126757-DBE3-4B23-8945-CFAF239EE7A2},2017/06/14 03:59:59+00,2017,Dryden,final_classification_completed,final_rating_completed,Tornado (Land),"twitter_eg_ntp_hashtag,storm_track_of_interest_eg_base",Start of damage track,Ontario,"satellite,aerial",ef1,yes,,"Tree damage reported in the Dryden area. Satellite imagery review did not reveal a visible damage path. High-resolution aerial imagery was collected in June 2017, revealing tornadic damage. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 1.7 km and max. path width of 420 m. Tornado motion from the WSW (approx. 255 degrees).",,2020/04/19 14:45:20+00,lellio44,2022/02/03 18:32:37+00,lellio44,,C-T/DOD-5 (LB),1.7,420.0,145.0,1831,Supercell,C-T/DOD-5 (LB),,,,255.0,14,June,2331,CDT,0,,,Ontario
-77.4503,47.1639000000001,1728,{9B880ED8-6F50-43DE-85C9-AADD5445F93D},2017/06/17 17:00:00+00,2017,Lac Pagel,final_classification_completed,final_rating_completed,Tornado (Land),historical_investigation,Start of damage track,Quebec,satellite,ef1,yes,,"Historical investigation of high-resolution satellite imagery revealed a tornado damage path in forested areas near Lac Pagel. Tornado damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 6.60 km and max. path width of 260 m. Tornado motion was from the SW (approx. 235 degrees). ",,2023/03/01 02:53:14+00,lellio44,2023/03/01 02:53:14+00,lellio44,,,6.6,260.0,145.0,1540,,C-T/DOD-5 (LB),0,,,235.0,17,June,1940,EDT,0,unknown,no,Québec
-77.3086,47.0761000000001,437,{4F4B58A2-AA9D-437C-8DBB-D510982EF8BE},2017/06/17 20:00:00+00,2017,Lac Ward,final_classification_completed,final_rating_completed,Tornado (Land),other,Start of damage track,Quebec,satellite,ef1,,,"Satellite imagery review revealed a tornado damage path through forested areas. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 3.5 km and max. path width of 170 m. Tornado motion from the SSW (approx. 205 degrees). Event time estimated based on archived ECCC radar imagery.",,2020/04/19 14:49:44+00,lellio44,2023/03/10 16:46:05+00,jfulle32,,C-T/DOD-5 (LB),3.5,170.0,145.0,1600,,C-T/DOD-5 (LB),,,,205.0,17,June,2000,EDT,0,,,Québec
