"REF_DATE","GEO","DGUID","Work status","Age group","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5196","","","","0"
"2003/2004","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5217","","","","0"
"2004/2005","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5199","","","","0"
"2005/2006","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","4998","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5121","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5292","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5388","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5535","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5538","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5592","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5544","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5499","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5799","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5154","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","All educators","All ages","Females","Number","223","units","0","v65932898","2.1.1.3","5388","","","","0"
"2002/2003","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1092","","","","0"
"2003/2004","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1086","","","","0"
"2004/2005","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1092","","","","0"
"2005/2006","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1086","","","","0"
"2006/2007","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1095","","","","0"
"2007/2008","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1113","","","","0"
"2008/2009","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1170","","","","0"
"2009/2010","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1185","","","","0"
"2010/2011","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1290","","","","0"
"2011/2012","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1293","","","","0"
"2012/2013","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1314","","","","0"
"2013/2014","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1257","","","","0"
"2014/2015","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1257","","","","0"
"2015/2016","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1275","","","","0"
"2016/2017","Prince Edward Island","2016A000211","All educators","All ages","Females","Number","223","units","0","v65933042","3.1.1.3","1206","","","","0"
"2002/2003","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","6498","","","","0"
"2003/2004","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","6579","","","","0"
"2004/2005","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","6660","","","","0"
"2005/2006","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","6837","","","","0"
"2006/2007","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","7125","","","","0"
"2007/2008","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","7197","","","","0"
"2008/2009","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","7317","","","","0"
"2009/2010","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","7383","","","","0"
"2010/2011","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","7170","","","","0"
"2011/2012","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","7005","","","","0"
"2012/2013","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","6783","","","","0"
"2013/2014","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","6579","","","","0"
"2014/2015","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","6798","","","","0"
"2015/2016","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","6723","","","","0"
"2016/2017","Nova Scotia","2016A000212","All educators","All ages","Females","Number","223","units","0","v65933186","4.1.1.3","7017","","","","0"
"2002/2003","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5304","","","","0"
"2003/2004","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5406","","","","0"
"2004/2005","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5484","","","","0"
"2005/2006","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5526","","","","0"
"2006/2007","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5634","","","","0"
"2007/2008","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5901","","","","0"
"2008/2009","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","6045","","","","0"
