"REF_DATE","GEO","DGUID","Work status","Age group","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","2838","","","","0"
"2003/2004","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","2700","","","","0"
"2004/2005","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","2538","","","","0"
"2005/2006","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","2322","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","2280","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","2190","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","2154","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","2187","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","2100","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","2016","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","2040","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","1881","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","1851","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","1794","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","All educators","All ages","Males","Number","223","units","0","v65932897","2.1.1.2","1770","","","","0"
"2002/2003","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","507","","","","0"
"2003/2004","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","507","","","","0"
"2004/2005","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","495","","","","0"
"2005/2006","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","456","","","","0"
"2006/2007","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","453","","","","0"
"2007/2008","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","468","","","","0"
"2008/2009","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","468","","","","0"
"2009/2010","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","459","","","","0"
"2010/2011","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","459","","","","0"
"2011/2012","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","471","","","","0"
"2012/2013","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","453","","","","0"
"2013/2014","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","435","","","","0"
"2014/2015","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","429","","","","0"
"2015/2016","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","411","","","","0"
"2016/2017","Prince Edward Island","2016A000211","All educators","All ages","Males","Number","223","units","0","v65933041","3.1.1.2","402","","","","0"
"2002/2003","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","3096","","","","0"
"2003/2004","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","3033","","","","0"
"2004/2005","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2922","","","","0"
"2005/2006","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2874","","","","0"
"2006/2007","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2793","","","","0"
"2007/2008","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2778","","","","0"
"2008/2009","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2748","","","","0"
"2009/2010","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2685","","","","0"
"2010/2011","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2571","","","","0"
"2011/2012","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2496","","","","0"
"2012/2013","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2424","","","","0"
"2013/2014","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2337","","","","0"
"2014/2015","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2352","","","","0"
"2015/2016","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2307","","","","0"
"2016/2017","Nova Scotia","2016A000212","All educators","All ages","Males","Number","223","units","0","v65933185","4.1.1.2","2316","","","","0"
"2002/2003","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","2112","","","","0"
"2003/2004","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","2064","","","","0"
"2004/2005","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","2028","","","","0"
"2005/2006","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1986","","","","0"
"2006/2007","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1995","","","","0"
"2007/2008","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1998","","","","0"
"2008/2009","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","2031","","","","0"
"2009/2010","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","2004","","","","0"
"2010/2011","New Brunswick","2016A000213","All educators","All ages","Males","Number","223","units","0","v65933329","5.1.1.2","1950","","","","0"
