"REF_DATE","GEO","DGUID","Work status","Age group","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","350622","","","","0"
"2003/2004","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","352299","","","","0"
"2004/2005","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","356346","","","","0"
"2005/2006","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","362673","","","","0"
"2006/2007","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","378621","","","","0"
"2007/2008","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","384318","","","","0"
"2008/2009","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","388143","","","","0"
"2009/2010","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","392703","","","","0"
"2010/2011","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","393561","","","","0"
"2011/2012","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","393312","","","","0"
"2012/2013","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","395562","","","","0"
"2013/2014","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","397236","","","","0"
"2014/2015","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","402726","","","","0"
"2015/2016","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","403485","","","","0"
"2016/2017","Canada","2016A000011124","All educators","All ages","Both sexes","Number","223","units","0","v65932752","1.1.1.1","408810","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","8034","","","","0"
