artist,track,id
Katy Perry,Dark Horse,5jrdCoLpJSvHHorevXBATy
BTS,Butter,1mWdTewIgB3gtBM3TOSFhB
Conan Gray,Heather,4xqrdfXkTW4T0RauPLv3WA
Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr
The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6
James Bay,Let It Go,13HVjjWUZFaWilh2QUJKsP
Harry Styles,As It Was,4Dvkj6JhhA12EX05fT7y2e
The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b
Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg
Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4
Calvin Harris,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6
J Balvin,LA CANCIÓN,0fea68AdmYNygeTGI4RC18
Eminem,Without Me,7lQ8MOhq6IN2w8EYcFNSUk
Coolio,Gangsta's Paradise,1DIXPcTDzTj8ZMHt3PDt8p
The Kid LAROI,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20
Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY
J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr
The Weeknd,Starboy,7MXVkk9YMctZqd1Srtv4MB
Sam Smith,I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN
Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4
Arctic Monkeys,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst
Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP
Glass Animals,Heat Waves,02MWAaffLxlfxAUY7c5dvx
Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d
Eminem,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR
The Weeknd,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN
Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG
Bad Bunny,Yonaguni,2JPLbjOn0wPCngEot2STUS
Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf
Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v
Post Malone,Circles,21jGcNKet2qwijlDFuPiPb
Bruno Mars,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh
The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g
Olivia Rodrigo,drivers license,5wANPM4fQCJwkGd4rN57mH
The Police,Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1
Eminem,Till I Collapse,4xkOaSrkexMciUUogZKVTS
Shawn Mendes,There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml
Måneskin,Beggin',3Wrjm47oTz2sjIgck11l5e
Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3
The Killers,Mr. Brightside,003vvx7Niy0yvhvHt4a68B
The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB
Bruno Mars,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh
Coldplay,The Scientist,75JFxkI2RXiU7L9VXzMkle
Avicii,The Nights,0ct6r3EGTcMLPtrXHDvVjc
Radiohead,Creep,70LcF31zb1H0PyJoS1Sx1r
Drake,One Dance,1zi7xx7UVEFkmKfv06H8x0
a-ha,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L
Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ
Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR
James Arthur,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK
Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE
AC/DC,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s
Linkin Park,In the End,60a0Rd6pjrkxjPbaKzXjfq
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI
Avicii,Wake Me Up,0nrRP2bk19rLc0orkWPQk2
Maroon 5,Memories,4cktbXiXOapiLBMprHFErI
Alec Benjamin,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d
The Chainsmokers,Something Just Like This,6RUKPb4LETWmmr3iAEQktW
Twenty One Pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn
Harry Styles,Adore You,3jjujdWJ72nww5eGnfs2E7
BTS,Dynamite,5QDLhrAOJJdNAmCTJ8xMyW
Ed Sheeran,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL
John Legend,All of Me,3U4isOIWM3VvDubwSI3y7a
Imagine Dragons,Thunder,1zB4vmk8tFRmM9UULNzbLB
Bon Jovi,Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF
Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt
Dua Lipa,Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF
Coldplay,Viva La Vida,1mea3bSkSGXuIRvnydlB5b
Tame Impala,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ
AC/DC,Back In Black,08mG3Y1vljYA6bvDt4Wqkj
The Chainsmokers,Closer,7BKLCZ1jbUBVqRi2FVlTVw
Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF
Travis Scott,goosebumps,6gBFPUFcJLzWGx4lenP6h2
Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn
Shawn Mendes,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd
Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m
XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96
Sam Smith,Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt
Adele,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX
Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B
Eagles,Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv
Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0
The White Stripes,Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR
Shakira,Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V
Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS
Justin Bieber,Love Yourself,50kpGaPAhYJ3sGmk6vplg0
Dr. Dre,Still D.R.E.,503OTo2dSqe7qk76rgsbep
Coldplay,Fix You,7LVHVU3tWfcxj5aiPFEW4Q
Harry Styles,Sign of the Times,5Ohxk2dO5COHF1krpoPigN
AC/DC,Thunderstruck,57bgtoPSgt236HzfBOd8kj
Ed Sheeran,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f
Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I
Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1
Tate McRae,you broke me first,45bE4HXI0AwGZXfZtMp8JR
Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU
Linkin Park,Numb,2nLtzopw4rPReszdYBJU6h
Foster The People,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT
TOTO,Africa,2374M0fQpWi3dLnB54qaLX
DJ Snake,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU
Maroon 5,Maps,4gbVRS8gloEluzf0GzDOFc
Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz
Lewis Capaldi,Before You Go,2gMXnyrvIjhVBUZwvLZDMP
Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ
The Goo Goo Dolls,Iris,6Qyc6fS4DsZjB2mRW9DsQs
Mark Ronson,Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS
XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2
Ariana Grande,One Last Time,7xoUc6faLbCqZO6fQEYprd
Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99
Fleetwood Mac,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz
Future,Mask Off,0VgkVdmE4gld66l8iyGjgx
Eminem,Love The Way You Lie,15JINEqzVMv3SvJTAXAKED
WALK THE MOON,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA
24kGoldn,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m
Journey,Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P
XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2
Lil Uzi Vert,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO
Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx
Charlie Puth,Attention,5cF0dROlMOK5uNZtivgu50
Kendrick Lamar,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s
XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL
"Earth, Wind & Fire",September,2grjqo0Frpf2okIBiifQKs
Lil Nas X,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W
Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h
Ava Max,Sweet but Psycho,7DnAm9FOTWE3cUvso43HhI
Bruno Mars,Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ
Train,"Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv
Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ
Red Hot Chili Peppers,Californication,48UPSzbZjgc449aqz8bxox
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn
Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW
Offset,Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR
Post Malone,Congratulations,3a1lNhkSLSkpJE4MSHpDu9
Juice WRLD,Robbery,6iaSML1PIYq936g62BDtBq
Twenty One Pilots,Ride,2Z8WuEywRWYTKe1NybPQEW
Wiz Khalifa,See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc
Rihanna,Needed Me,4pAl7FkDMNBsjykPXo91B3
Anne-Marie,2002,2BgEsaKNfHUdlh97KmvFyo
Red Hot Chili Peppers,Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0
Shawn Mendes,Mercy,0AS63m1wHv9n4VVRizK6Hc
XXXTENTACION,Look At Me!,7floNISpH8VF4z4459Qo18
DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC
Post Malone,Wow.,7xQAfvXzm3AkraOtGPWIZg
Justin Bieber,Sorry,09CtPGIpYB4BrO8qb1RGsF
Twenty One Pilots,Heathens,6i0V12jOa3mr6uu4WYhUBr
French Montana,Unforgettable,3B54sVLJ402zGa6Xm4YGNe
MKTO,Classic,6FE2iI43OZnszFLuLtvvmg
Calvin Harris,This Is What You Came For,0azC730Exh71aQlOt9Zj3y
Dua Lipa,Don't Start Now,3PfIrDoz19wz7qK7tYeu62
Marshmello,Silence,7vGuf3Y35N4wmASOKLUVVU
Doja Cat,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK
Panic! At The Disco,High Hopes,1rqqCSm0Qe4I9rUvWncaom
Maroon 5,Sugar,2iuZJX9X9P0GKaE93xcPjk
Backstreet Boys,I Want It That Way,47BBI51FKFwOMlIiX6m8ya
Calvin Harris,Summer,6YUTL4dYpB9xZO5qExPf05
Dua Lipa,New Rules,2ekn2ttSfGqwhhate0LSR0
Pitbull,Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS
5 Seconds of Summer,Youngblood,2iUXsYOEPhVqEBwsqP70rE
Roddy Ricch,The Box,0nbXyq5TXYPCO7pr3N8S4I
MAGIC!,Rude,6RtPijgfPKROxEzTHNRiDp
Avicii,Waiting For Love,2P4OICZRVAQcYAV2JReRfj
Jonas Brothers,Sucker,22vgEDb5hykfaTwLuskFGD
Pharrell Williams,"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH
Christina Perri,A Thousand Years,6lanRgr6wXibZr8KgzXxBl
Childish Gambino,Redbone,0WtDGnWL2KrMCk0mI1Gpwz
Bad Bunny,DÁKITI,4MzXwWMhyBbmu6hOcLVD49
Regard,Ride It,2tnVG71enUj33Ic2nFN6kZ
Camila Cabello,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W
Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik
Lukas Graham,7 Years,5kqIPrATaCc2LqxVWzQGbk
Lil Tecca,Ransom,1lOe9qE0vR9zwWQAOk6CoO
NF,Let You Down,52okn5MNA47tk87PeZJLEL
Cardi B,WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih
Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY
Luis Fonsi,Despacito,6habFhsOp2NvshLv26DqMb
Jason Mraz,I'm Yours,1EzrEOXmMH3G43AXT1y7pA
blackbear,hot girl bummer,6jRq8gaZhMUyy5RclRPcAf
Zedd,The Middle,09IStsImFySgyp0pIQdqAc
Vance Joy,Riptide,3JvrhDOgAt6p7K8mDyZwRd
Axwell /\ Ingrosso,More Than You Know,6h5PAsRni4IRlxWr6uDPTP
The Chainsmokers,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK
Dean Lewis,Be Alright,3EPXxR3ImUwfayaurPi3cm
Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI
Selena Gomez,Wolves,0tBbt8CrmxbjRP0pueQkyU
Dua Lipa,IDGAF,76cy1WJvNGJTj78UqeA5zr
DaBaby,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4
Bruno Mars,24K Magic,6b8Be6ljOzmkOmFslEb23P
Adele,Rolling in the Deep,1c8gk2PeTE04A1pIDH9YMk
Jessie J,Bang Bang,0puf9yIluy9W0vpMEUoAnN
Nirvana,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T
Travis Scott,BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN
Doja Cat,Say So,3Dv1eDb0MEgF93GpLXlucZ
Trevor Daniel,Falling,0Aqi7ArnBrGblW5T6p2jmD
Bad Bunny,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO
Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m
Dynoro,In My Mind,0E9ZjEAyAwOXZ7wJC0PD33
Adele,Someone Like You,1zwMYTA5nlNjZxYrvBB2pV
Marshmello,FRIENDS,08bNPGLD8AhKpnnERrAc6G
Cardi B,I Like It,58q2HKrzhC3ozto2nDdN4z
Ellie Goulding,Love Me Like You Do,0Cy7wt6IlRfBPHXXjmZbcP
Martin Garrix,In the Name of Love,23L5CiUhw2jV1OIMwthR3S
