artist,track,id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,release_year,release_date_length
Nat King Cole,Mona Lisa,5dae01pKNjRQtgOeAkFzPY,1954-01-01,0.241,0.237,1.0,-12.201,1.0,0.0371,0.952,0.0,0.113,0.303,174.578,audio_features,spotify:track:5dae01pKNjRQtgOeAkFzPY,https://api.spotify.com/v1/tracks/5dae01pKNjRQtgOeAkFzPY,https://api.spotify.com/v1/audio-analysis/5dae01pKNjRQtgOeAkFzPY,194987.0,3.0,1954,10.0
Anton Karas,The Third Man: The Third Man Theme (The Third Man),6XzXeNu7FuUttdTwVl0rG1,2012-10-01,0.496,0.523,2.0,-11.518,1.0,0.0455,0.97,0.753,0.163,0.915,145.126,audio_features,spotify:track:6XzXeNu7FuUttdTwVl0rG1,https://api.spotify.com/v1/tracks/6XzXeNu7FuUttdTwVl0rG1,https://api.spotify.com/v1/audio-analysis/6XzXeNu7FuUttdTwVl0rG1,127613.0,3.0,2012,10.0
Gary Crosby & Friend,Play A Simple Melody - Single Version,33FdwvfiSBRbE2AQ4UehaR,1993-01-01,0.658,0.229,10.0,-13.755,1.0,0.0473,0.768,3.51e-06,0.167,0.829,138.8,audio_features,spotify:track:33FdwvfiSBRbE2AQ4UehaR,https://api.spotify.com/v1/tracks/33FdwvfiSBRbE2AQ4UehaR,https://api.spotify.com/v1/audio-analysis/33FdwvfiSBRbE2AQ4UehaR,175693.0,3.0,1993,10.0
Teresa Brewer,(Put Another Nickel In) Music! Music! Music!,4yDNxMcQCjnCg9lLoKAH0I,1995-01-01,0.753,0.446,7.0,-14.38,1.0,0.0399,0.644,2.47e-05,0.173,0.921,99.115,audio_features,spotify:track:4yDNxMcQCjnCg9lLoKAH0I,https://api.spotify.com/v1/tracks/4yDNxMcQCjnCg9lLoKAH0I,https://api.spotify.com/v1/audio-analysis/4yDNxMcQCjnCg9lLoKAH0I,160667.0,4.0,1995,10.0
Guy Lombardo,The Third Man Theme,5uEwpyOYHFGqme4WnVQhfs,2012-02-24,0.788,0.158,0.0,-12.071,1.0,0.0365,0.885,0.627,0.101,0.569,115.551,audio_features,spotify:track:5uEwpyOYHFGqme4WnVQhfs,https://api.spotify.com/v1/tracks/5uEwpyOYHFGqme4WnVQhfs,https://api.spotify.com/v1/audio-analysis/5uEwpyOYHFGqme4WnVQhfs,179040.0,4.0,2012,10.0
Red Foley,Chattanoogie Shoe Shine Boy,4uq2Zctom8rlXuL3Omm77g,2008-08-26,0.726,0.677,10.0,-7.084,1.0,0.122,0.633,0.000213,0.0573,0.838,147.967,audio_features,spotify:track:4uq2Zctom8rlXuL3Omm77g,https://api.spotify.com/v1/tracks/4uq2Zctom8rlXuL3Omm77g,https://api.spotify.com/v1/audio-analysis/4uq2Zctom8rlXuL3Omm77g,166587.0,4.0,2008,10.0
Swing & Sway With Sammy Kaye,Harbor Lights,7hHOmImd35ZdKovBNSQXk8,1990-01-16,0.216,0.0591,2.0,-21.08,1.0,0.0325,0.99,0.00218,0.112,0.131,83.344,audio_features,spotify:track:7hHOmImd35ZdKovBNSQXk8,https://api.spotify.com/v1/tracks/7hHOmImd35ZdKovBNSQXk8,https://api.spotify.com/v1/audio-analysis/7hHOmImd35ZdKovBNSQXk8,200760.0,4.0,1990,10.0
Eileen Barton,If I Knew You Were Comin' (I'd Have Baked a Cake),2dQ6cleOtvk3iGjCRMlInT,2017-04-21,0.734,0.33,8.0,-7.246,1.0,0.333,0.848,2.28e-06,0.0697,0.948,170.128,audio_features,spotify:track:2dQ6cleOtvk3iGjCRMlInT,https://api.spotify.com/v1/tracks/2dQ6cleOtvk3iGjCRMlInT,https://api.spotify.com/v1/audio-analysis/2dQ6cleOtvk3iGjCRMlInT,159120.0,4.0,2017,10.0
Kay Starr,Bonaparte's Retreat,17wEjjWqgu0HlSbb57zrOl,1991-01-01,0.638,0.137,8.0,-15.119,1.0,0.0596,0.805,1.78e-06,0.0824,0.834,146.004,audio_features,spotify:track:17wEjjWqgu0HlSbb57zrOl,https://api.spotify.com/v1/tracks/17wEjjWqgu0HlSbb57zrOl,https://api.spotify.com/v1/audio-analysis/17wEjjWqgu0HlSbb57zrOl,148107.0,4.0,1991,10.0
Tony Martin,There's No Tomorrow,6LkJcX34c0lPCNfHXZiVVo,2001-07-30,0.271,0.214,10.0,-10.171,1.0,0.0304,0.954,0.0278,0.437,0.196,93.787,audio_features,spotify:track:6LkJcX34c0lPCNfHXZiVVo,https://api.spotify.com/v1/tracks/6LkJcX34c0lPCNfHXZiVVo,https://api.spotify.com/v1/audio-analysis/6LkJcX34c0lPCNfHXZiVVo,195160.0,4.0,2001,10.0
Phil Harris,The Thing,1M4oXWd93RwPzt6Ns9h1Nc,2008-03-10,0.813,0.558,2.0,-10.482,1.0,0.351,0.901,0.0,0.133,0.926,127.756,audio_features,spotify:track:1M4oXWd93RwPzt6Ns9h1Nc,https://api.spotify.com/v1/tracks/1M4oXWd93RwPzt6Ns9h1Nc,https://api.spotify.com/v1/audio-analysis/1M4oXWd93RwPzt6Ns9h1Nc,142133.0,3.0,2008,10.0
The Ames Brothers,Sentimental Me,4cebVIEpo3f2Pks50fATbc,2007-05-26,0.41,0.177,8.0,-11.459,1.0,0.0274,0.86,0.0,0.118,0.264,75.601,audio_features,spotify:track:4cebVIEpo3f2Pks50fATbc,https://api.spotify.com/v1/tracks/4cebVIEpo3f2Pks50fATbc,https://api.spotify.com/v1/audio-analysis/4cebVIEpo3f2Pks50fATbc,198239.0,4.0,2007,10.0
Patti Page,Tennessee Waltz,0BHroBUvBAp561BYqC9LRK,1960-09-07,0.373,0.124,5.0,-12.95,1.0,0.0342,0.969,0.000891,0.123,0.351,86.857,audio_features,spotify:track:0BHroBUvBAp561BYqC9LRK,https://api.spotify.com/v1/tracks/0BHroBUvBAp561BYqC9LRK,https://api.spotify.com/v1/audio-analysis/0BHroBUvBAp561BYqC9LRK,185000.0,3.0,1960,10.0
The Andrews Sisters with Orchestra,"I Can Dream, Can'T It",18OOWYpby2ZvjBGokvInzp,2015,0.253,0.199,0.0,-9.302,1.0,0.0329,0.913,0.0,0.117,0.253,179.15,audio_features,spotify:track:18OOWYpby2ZvjBGokvInzp,https://api.spotify.com/v1/tracks/18OOWYpby2ZvjBGokvInzp,https://api.spotify.com/v1/audio-analysis/18OOWYpby2ZvjBGokvInzp,159493.0,4.0,2015,4.0
Tennessee Ernie Ford & Kay Starr,I'll Never Be Free,1v52YkW75eN4RJ2EyDdQVI,2011-04-10,0.703,0.197,7.0,-11.312,1.0,0.0327,0.795,0.0,0.0982,0.469,82.114,audio_features,spotify:track:1v52YkW75eN4RJ2EyDdQVI,https://api.spotify.com/v1/tracks/1v52YkW75eN4RJ2EyDdQVI,https://api.spotify.com/v1/audio-analysis/1v52YkW75eN4RJ2EyDdQVI,156987.0,3.0,2011,10.0
Patti Page,All My Love,19vjeNqhgk0vhH5TuxDok9,1991-11-22,0.627,0.193,8.0,-14.935,1.0,0.0451,0.888,1.49e-06,0.119,0.596,123.231,audio_features,spotify:track:19vjeNqhgk0vhH5TuxDok9,https://api.spotify.com/v1/tracks/19vjeNqhgk0vhH5TuxDok9,https://api.spotify.com/v1/audio-analysis/19vjeNqhgk0vhH5TuxDok9,194333.0,4.0,1991,10.0
Victor Young,My foolish Heart,2G597vEgxsvckPwocEHY9Y,2007-03-01,0.283,0.219,8.0,-13.386,1.0,0.0373,0.943,0.91,0.147,0.308,100.861,audio_features,spotify:track:2G597vEgxsvckPwocEHY9Y,https://api.spotify.com/v1/tracks/2G597vEgxsvckPwocEHY9Y,https://api.spotify.com/v1/audio-analysis/2G597vEgxsvckPwocEHY9Y,175693.0,4.0,2007,10.0
The Ames Brothers,Rag Mop,7z03paoXvhCzN22twdfPHR,2010-03-31,0.565,0.478,7.0,-14.53,1.0,0.0567,0.57,0.000451,0.33,0.956,203.468,audio_features,spotify:track:7z03paoXvhCzN22twdfPHR,https://api.spotify.com/v1/tracks/7z03paoXvhCzN22twdfPHR,https://api.spotify.com/v1/audio-analysis/7z03paoXvhCzN22twdfPHR,166520.0,4.0,2010,10.0
Bill Snyder,Bewitched,11I6S3cRw3rQiToU1uYjVZ,2001,0.484,0.173,1.0,-19.406,1.0,0.0404,0.965,0.755,0.179,0.245,76.499,audio_features,spotify:track:11I6S3cRw3rQiToU1uYjVZ,https://api.spotify.com/v1/tracks/11I6S3cRw3rQiToU1uYjVZ,https://api.spotify.com/v1/audio-analysis/11I6S3cRw3rQiToU1uYjVZ,172360.0,4.0,2001,4.0
Perry Como,Hoop-Dee-Doo,6SHADtq8nTZCUTjyP7HJqf,1988-06-16,0.645,0.43,1.0,-11.916,1.0,0.0444,0.91,0.0,0.561,0.944,132.643,audio_features,spotify:track:6SHADtq8nTZCUTjyP7HJqf,https://api.spotify.com/v1/tracks/6SHADtq8nTZCUTjyP7HJqf,https://api.spotify.com/v1/audio-analysis/6SHADtq8nTZCUTjyP7HJqf,174040.0,4.0,1988,10.0
